n,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
128,59,RMP,baseline,0.0027285250107524917,0.0001199970138259232,0.00013734897947870195,0.0009148989483946934,0.0005454960628412664,0.0
128,59,RMP,optimized,0.0007871489942772314,5.320097261574119e-05,4.443697980605066e-05,0.00017654798284638673,0.00019318099657539278,0.0001463180233258754
128,60,RMP,baseline,0.0014278140006354079,5.07110235048458e-05,5.8949997765012085e-05,0.0005634040280710906,0.00021052801457699388,0.0
128,60,RMP,optimized,0.0006648729904554784,3.9625956560485065e-05,3.291398752480745e-05,0.00016144198889378458,0.0001689389901002869,0.00016392099496442825
128,61,RMP,baseline,0.0009801450069062412,4.063699452672154e-05,3.0373965273611248e-05,0.0003934310079785064,0.00014422698586713523,0.0
128,61,RMP,optimized,0.0006780979892937467,4.489399725571275e-05,3.473501419648528e-05,0.00016057700850069523,0.00016884802607819438,0.00017357798060402274
128,62,RMP,baseline,0.0010803980112541467,4.222802817821503e-05,3.6501020076684654e-05,0.00042943801963701844,0.00017213598766829818,0.0
128,62,RMP,optimized,0.0006729349988745525,4.406399966683239e-05,3.973301500082016e-05,0.00016216399671975523,0.00017074501374736428,0.00015535498096141964
128,63,RMP,baseline,0.0011489980097394437,4.604899731930345e-05,3.8882033550180495e-05,0.000448482038336806,0.0001876739988802001,0.0
128,63,RMP,optimized,0.0005858060030732304,3.9900041883811355e-05,3.3938034903258085e-05,0.00013457698514685035,0.0001450080017093569,0.00014571801875717938
128,64,RMP,baseline,0.0011626499908743426,4.251895006746054e-05,4.664297739509493e-05,0.0004529230063781142,0.00017402101366315037,0.0
128,64,RMP,optimized,0.0007163599948398769,4.394803545437753e-05,4.484302189666778e-05,0.00018253894813824445,0.00018850404012482613,0.00015699997311457992
128,65,RMP,baseline,0.0021791510080220178,8.615497790742666e-05,8.405800326727331e-05,0.000796250969870016,0.0003689719451358542,0.0
128,65,RMP,optimized,0.0009984149946831167,6.366100569721311e-05,5.527399480342865e-05,0.00024337797367479652,0.0002572140219854191,0.00022472201089840382
128,66,RMP,baseline,0.00350037201133091,0.0001380029716528952,0.00011961697600781918,0.0012123769556637853,0.0006502710020868108,0.0
128,66,RMP,optimized,0.00199528899975121,0.0001237419928656891,0.00010464899241924286,0.0004549779841909185,0.0006139100150903687,0.00043112499406561255
128,67,RMP,baseline,0.00125898901023902,5.2901028539054096e-05,4.998900112695992e-05,0.0005023699632147327,0.00019120996876154095,0.0
128,67,RMP,optimized,0.0006880079890834168,4.231600905768573e-05,3.7967998650856316e-05,0.00018121401080861688,0.000167656980920583,0.0001442049688193947
128,68,RMP,baseline,0.0024875570088624954,8.403901301790029e-05,8.418799552600831e-05,0.0009542359766783193,0.0003783489955822006,0.0
128,68,RMP,optimized,0.00138183799572289,9.536603465676308e-05,8.452900510746986e-05,0.000318139951559715,0.00039239900070242584,0.0002986280160257593
128,69,RMP,baseline,0.0021187870006542653,9.692800813354552e-05,7.714903040323406e-05,0.0007599930395372212,0.0003560330078471452,0.0
128,69,RMP,optimized,0.0006380819977493957,4.285697650630027e-05,5.399301880970597e-05,0.00015084102051332593,0.00015637502656318247,0.00013816598220728338
128,70,RMP,baseline,0.0013815340062137693,5.5670010624453425e-05,0.00012276804773136973,0.0005272559792501852,0.0001960090157808736,0.0
128,70,RMP,optimized,0.0006803780124755576,4.629297473002225e-05,4.388597153592855e-05,0.0001657459797570482,0.0001877210015663877,0.000130782020278275
128,71,RMP,baseline,0.0010995060001732782,5.661198520101607e-05,3.8254016544669867e-05,0.00042123500315938145,0.00016371694800909609,0.0
128,71,RMP,optimized,0.0005792520096292719,4.205397272016853e-05,3.2455965992994606e-05,0.00014386599650606513,0.00014661603199783713,0.00012579202302731574
128,72,RMP,baseline,0.0022679629910271615,9.662903903517872e-05,9.457200940232724e-05,0.000828857024316676,0.00039152702083811164,0.0
128,72,RMP,optimized,0.001269000000320375,7.772399112582207e-05,7.473803998436779e-05,0.0003125200164504349,0.0003400579880690202,0.00027842397685162723
128,73,RMP,baseline,0.0011573429947020486,4.0636034100316465e-05,3.7478021113201976e-05,0.0004736869886983186,0.000167020974913612,0.0
128,73,RMP,optimized,0.0005860429955646396,3.6511002690531313e-05,3.445004404056817e-05,0.0001313210086664185,0.00015157500456552953,0.00012981596228200942
