matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
partial_dct,0,Improved-gOMP,optimized,0.001135549999162322,2.923500505858101e-05,0.0005924220022279769,0.00021319999359548092,3.552100315573625e-05,0.00010723300511017442
partial_dct,1,Improved-gOMP,baseline,0.001525225001387298,2.1939002181170508e-05,0.0011679439994622953,0.00011187900236109272,2.6884001272264868e-05,2.459000825183466e-06
partial_dct,1,Improved-gOMP,optimized,0.0008191840024664998,2.030600080615841e-05,0.00047467200056416914,0.00018545599959907122,3.036999623873271e-05,2.2989988792687654e-06
partial_dct,2,Improved-gOMP,baseline,0.0023265060008270666,2.6510999305173755e-05,0.0016963740017672535,0.00014868900325382128,3.3055999665521085e-05,0.0001385830000799615
partial_dct,2,Improved-gOMP,optimized,0.0009735099993122276,2.167199636460282e-05,0.0004851640042033978,0.0001895259993034415,2.9968992748763412e-05,0.00012566000077640638
partial_dct,3,Improved-gOMP,baseline,0.002057267996860901,2.739500268944539e-05,0.0014409680006792769,0.0001460329986002762,3.383400326129049e-05,0.00012860699644079432
partial_dct,3,Improved-gOMP,optimized,0.001043386000674218,2.4194003344746307e-05,0.0005423459988378454,0.00020833800590480678,3.470700539764948e-05,0.00010369699521106668
partial_dct,4,Improved-gOMP,baseline,0.0027577239998208825,3.0216000595828518e-05,0.0018650060046638828,0.00017175000175484456,3.416199979255907e-05,0.00032744399868533947
partial_dct,4,Improved-gOMP,optimized,0.00127213199812104,2.1836996893398464e-05,0.0005509709990292322,0.0002252690028399229,3.279300290159881e-05,0.0003044280092581175
partial_dct,5,Improved-gOMP,baseline,0.00148767100108671,2.113899972755462e-05,0.0011222719986108132,0.00010784200276248157,2.6889996661338955e-05,2.677999873412773e-06
partial_dct,5,Improved-gOMP,optimized,0.000800461999460822,1.9972001609858125e-05,0.00043741600165958516,0.00019584400070016272,3.158999970764853e-05,2.3130014596972615e-06
partial_dct,6,Improved-gOMP,baseline,0.002157544000510825,2.897200101870112e-05,0.0014880670023558196,0.0001660029993217904,3.6538996937451884e-05,0.0001284869977098424
partial_dct,6,Improved-gOMP,optimized,0.0013548069982789457,2.4232995201600716e-05,0.0005654289925587364,0.00022166200142237358,3.644699972937815e-05,0.00036765400000149384
partial_dct,7,Improved-gOMP,baseline,0.0020447349997994024,2.6044002879643813e-05,0.0014033439983904827,0.0001605500037840102,3.563099744496867e-05,0.00014157600162434392
partial_dct,7,Improved-gOMP,optimized,0.0013166780008759815,3.0910003260942176e-05,0.0007036659990262706,0.0002519790032238234,4.1626997699495405e-05,0.00010888400720432401
partial_dct,8,Improved-gOMP,baseline,0.0014472869988821913,1.9792998500633985e-05,0.0011002520041074604,0.00010775199916679412,2.5001998437801376e-05,2.5800000003073364e-06
partial_dct,8,Improved-gOMP,optimized,0.000816249998024432,1.8654001905815676e-05,0.0004727500017907005,0.00018530400484451093,3.35040022036992e-05,2.282999048475176e-06
partial_dct,9,Improved-gOMP,baseline,0.0025518940019537695,3.0180995963746682e-05,0.001759420003509149,0.00022320699645206332,4.371000250102952e-05,0.00015482599701499566
partial_dct,9,Improved-gOMP,optimized,0.0011084979996667244,2.5012996047735214e-05,0.0005834350049553905,0.0002211720020568464,3.6631001421483234e-05,0.00010922100045718253
partial_dct,10,Improved-gOMP,baseline,0.0021342929976526648,2.188500002375804e-05,0.0014425199951801915,0.00018509399887989275,4.981299571227282e-05,0.00017566899987286888
partial_dct,10,Improved-gOMP,optimized,0.000838167001347756,2.1540992747759447e-05,0.00047932200322975405,0.00018887899932451546,3.1665997084928676e-05,2.4619948817417026e-06
partial_dct,11,Improved-gOMP,baseline,0.0017494120002083946,2.138199852197431e-05,0.0012112180011172313,0.00011828899732790887,2.9758000891888514e-05,0.00013543100067181513
partial_dct,11,Improved-gOMP,optimized,0.0010278580011799932,2.3609998606843874e-05,0.0005377880006562918,0.00020052100080647506,3.4045999200316146e-05,0.0001026499921863433
partial_dct,12,Improved-gOMP,baseline,0.0015432139989570715,1.9195002096239477e-05,0.0011679260023811366,0.00011405599798308685,2.4770997697487473e-05,2.606997441034764e-06
