k,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
32,262,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,263,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,263,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
32,264,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,264,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,265,Improved-gOMP,baseline,4680.0,768.0,2048.0,0.0,0.0,0.0,1416.0,96.0,88.0,88.0,88.0,88.0,0.0
32,265,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,266,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,266,Improved-gOMP,optimized,11728.0,768.0,2048.0,0.0,8192.0,256.0,256.0,104.0,96.0,0.0,0.0,8.0,0.0
32,267,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,267,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,268,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,268,Improved-gOMP,optimized,11208.0,768.0,2048.0,0.0,7688.0,248.0,248.0,104.0,96.0,0.0,0.0,8.0,0.0
32,269,Improved-gOMP,baseline,4952.0,768.0,2048.0,0.0,0.0,0.0,1648.0,104.0,96.0,96.0,96.0,96.0,0.0
32,269,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,270,Improved-gOMP,baseline,5016.0,768.0,2048.0,0.0,0.0,0.0,1712.0,104.0,96.0,96.0,96.0,96.0,0.0
32,270,Improved-gOMP,optimized,9728.0,768.0,2048.0,0.0,6272.0,224.0,224.0,96.0,88.0,0.0,0.0,8.0,0.0
32,271,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,271,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,272,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,272,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,273,Improved-gOMP,baseline,4952.0,768.0,2048.0,0.0,0.0,0.0,1648.0,104.0,96.0,96.0,96.0,96.0,0.0
32,273,Improved-gOMP,optimized,9744.0,768.0,2048.0,0.0,6272.0,224.0,224.0,104.0,96.0,0.0,0.0,8.0,0.0
32,274,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,274,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,275,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,275,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,276,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,276,Improved-gOMP,optimized,11224.0,768.0,2048.0,0.0,7688.0,248.0,248.0,112.0,104.0,0.0,0.0,8.0,0.0
32,277,Improved-gOMP,baseline,4376.0,768.0,2048.0,0.0,0.0,0.0,1152.0,88.0,80.0,80.0,80.0,80.0,0.0
32,277,Improved-gOMP,optimized,7200.0,768.0,2048.0,0.0,3872.0,176.0,176.0,80.0,72.0,0.0,0.0,8.0,0.0
32,278,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,278,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,279,Improved-gOMP,baseline,4680.0,768.0,2048.0,0.0,0.0,0.0,1416.0,96.0,88.0,88.0,88.0,88.0,0.0
32,279,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
32,280,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,280,Improved-gOMP,optimized,8832.0,768.0,2048.0,0.0,5408.0,208.0,208.0,96.0,88.0,0.0,0.0,8.0,0.0
32,281,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,281,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,282,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,282,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,283,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,283,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,284,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,284,Improved-gOMP,optimized,11208.0,768.0,2048.0,0.0,7688.0,248.0,248.0,104.0,96.0,0.0,0.0,8.0,0.0
32,285,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,285,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,286,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,286,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,287,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,287,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,288,Improved-gOMP,baseline,4952.0,768.0,2048.0,0.0,0.0,0.0,1648.0,104.0,96.0,96.0,96.0,96.0,0.0
32,288,Improved-gOMP,optimized,8392.0,768.0,2048.0,0.0,5000.0,200.0,200.0,88.0,80.0,0.0,0.0,8.0,0.0
32,289,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,289,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,290,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,290,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,291,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,291,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
32,292,Improved-gOMP,baseline,5064.0,768.0,2048.0,0.0,0.0,0.0,1760.0,104.0,96.0,96.0,96.0,96.0,0.0
32,292,Improved-gOMP,optimized,9728.0,768.0,2048.0,0.0,6272.0,224.0,224.0,96.0,88.0,0.0,0.0,8.0,0.0
32,293,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,293,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,294,Improved-gOMP,baseline,4680.0,768.0,2048.0,0.0,0.0,0.0,1416.0,96.0,88.0,88.0,88.0,88.0,0.0
32,294,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
32,295,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,295,Improved-gOMP,optimized,9744.0,768.0,2048.0,0.0,6272.0,224.0,224.0,104.0,96.0,0.0,0.0,8.0,0.0
32,296,Improved-gOMP,baseline,5248.0,768.0,2048.0,0.0,0.0,0.0,1904.0,112.0,104.0,104.0,104.0,104.0,0.0
32,296,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
32,297,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,297,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
32,298,Improved-gOMP,baseline,4424.0,768.0,2048.0,0.0,0.0,0.0,1200.0,88.0,80.0,80.0,80.0,80.0,0.0
32,298,Improved-gOMP,optimized,7200.0,768.0,2048.0,0.0,3872.0,176.0,176.0,80.0,72.0,0.0,0.0,8.0,0.0
32,299,Improved-gOMP,baseline,5312.0,768.0,2048.0,0.0,0.0,0.0,1968.0,112.0,104.0,104.0,104.0,104.0,0.0
32,299,Improved-gOMP,optimized,11744.0,768.0,2048.0,0.0,8192.0,256.0,256.0,112.0,104.0,0.0,0.0,8.0,0.0
36,0,Improved-gOMP,baseline,5464.0,768.0,2048.0,0.0,0.0,0.0,2080.0,120.0,112.0,112.0,112.0,112.0,0.0
36,0,Improved-gOMP,optimized,11224.0,768.0,2048.0,0.0,7688.0,248.0,248.0,112.0,104.0,0.0,0.0,8.0,0.0
36,1,Improved-gOMP,baseline,5688.0,768.0,2048.0,0.0,0.0,0.0,2304.0,120.0,112.0,112.0,112.0,112.0,0.0
36,1,Improved-gOMP,optimized,14000.0,768.0,2048.0,0.0,10368.0,288.0,288.0,120.0,112.0,0.0,0.0,8.0,0.0
36,2,Improved-gOMP,baseline,5872.0,768.0,2048.0,0.0,0.0,0.0,2448.0,128.0,120.0,120.0,120.0,120.0,0.0
36,2,Improved-gOMP,optimized,11760.0,768.0,2048.0,0.0,8192.0,256.0,256.0,120.0,112.0,0.0,0.0,8.0,0.0
36,3,Improved-gOMP,baseline,4376.0,768.0,2048.0,0.0,0.0,0.0,1152.0,88.0,80.0,80.0,80.0,80.0,0.0
36,3,Improved-gOMP,optimized,9744.0,768.0,2048.0,0.0,6272.0,224.0,224.0,104.0,96.0,0.0,0.0,8.0,0.0
36,4,Improved-gOMP,baseline,5688.0,768.0,2048.0,0.0,0.0,0.0,2304.0,120.0,112.0,112.0,112.0,112.0,0.0
36,4,Improved-gOMP,optimized,14000.0,768.0,2048.0,0.0,10368.0,288.0,288.0,120.0,112.0,0.0,0.0,8.0,0.0
36,5,Improved-gOMP,baseline,5872.0,768.0,2048.0,0.0,0.0,0.0,2448.0,128.0,120.0,120.0,120.0,120.0,0.0
36,5,Improved-gOMP,optimized,14016.0,768.0,2048.0,0.0,10368.0,288.0,288.0,128.0,120.0,0.0,0.0,8.0,0.0
36,6,Improved-gOMP,baseline,5872.0,768.0,2048.0,0.0,0.0,0.0,2448.0,128.0,120.0,120.0,120.0,120.0,0.0
36,6,Improved-gOMP,optimized,14016.0,768.0,2048.0,0.0,10368.0,288.0,288.0,128.0,120.0,0.0,0.0,8.0,0.0
36,7,Improved-gOMP,baseline,5544.0,768.0,2048.0,0.0,0.0,0.0,2160.0,120.0,112.0,112.0,112.0,112.0,0.0
36,7,Improved-gOMP,optimized,14016.0,768.0,2048.0,0.0,10368.0,288.0,288.0,128.0,120.0,0.0,0.0,8.0,0.0
36,8,Improved-gOMP,baseline,5872.0,768.0,2048.0,0.0,0.0,0.0,2448.0,128.0,120.0,120.0,120.0,120.0,0.0
36,8,Improved-gOMP,optimized,12296.0,768.0,2048.0,0.0,8712.0,264.0,264.0,120.0,112.0,0.0,0.0,8.0,0.0
36,9,Improved-gOMP,baseline,5304.0,768.0,2048.0,0.0,0.0,0.0,1960.0,112.0,104.0,104.0,104.0,104.0,0.0
36,9,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
36,10,Improved-gOMP,baseline,5952.0,768.0,2048.0,0.0,0.0,0.0,2528.0,128.0,120.0,120.0,120.0,120.0,0.0
36,10,Improved-gOMP,optimized,12296.0,768.0,2048.0,0.0,8712.0,264.0,264.0,120.0,112.0,0.0,0.0,8.0,0.0
36,11,Improved-gOMP,baseline,5744.0,768.0,2048.0,0.0,0.0,0.0,2360.0,120.0,112.0,112.0,112.0,112.0,0.0
36,11,Improved-gOMP,optimized,14000.0,768.0,2048.0,0.0,10368.0,288.0,288.0,120.0,112.0,0.0,0.0,8.0,0.0
36,12,Improved-gOMP,baseline,4728.0,768.0,2048.0,0.0,0.0,0.0,1464.0,96.0,88.0,88.0,88.0,88.0,0.0
36,12,Improved-gOMP,optimized,10216.0,768.0,2048.0,0.0,6728.0,232.0,232.0,104.0,96.0,0.0,0.0,8.0,0.0
36,13,Improved-gOMP,baseline,5952.0,768.0,2048.0,0.0,0.0,0.0,2528.0,128.0,120.0,120.0,120.0,120.0,0.0
36,13,Improved-gOMP,optimized,9272.0,768.0,2048.0,0.0,5832.0,216.0,216.0,96.0,88.0,0.0,0.0,8.0,0.0
36,14,Improved-gOMP,baseline,5688.0,768.0,2048.0,0.0,0.0,0.0,2304.0,120.0,112.0,112.0,112.0,112.0,0.0
36,14,Improved-gOMP,optimized,14016.0,768.0,2048.0,0.0,10368.0,288.0,288.0,128.0,120.0,0.0,0.0,8.0,0.0
36,15,Improved-gOMP,baseline,5744.0,768.0,2048.0,0.0,0.0,0.0,2360.0,120.0,112.0,112.0,112.0,112.0,0.0
36,15,Improved-gOMP,optimized,14000.0,768.0,2048.0,0.0,10368.0,288.0,288.0,120.0,112.0,0.0,0.0,8.0,0.0
36,16,Improved-gOMP,baseline,5688.0,768.0,2048.0,0.0,0.0,0.0,2304.0,120.0,112.0,112.0,112.0,112.0,0.0
36,16,Improved-gOMP,optimized,13416.0,768.0,2048.0,0.0,9800.0,280.0,280.0,120.0,112.0,0.0,0.0,8.0,0.0
36,17,Improved-gOMP,baseline,5872.0,768.0,2048.0,0.0,0.0,0.0,2448.0,128.0,120.0,120.0,120.0,120.0,0.0
36,17,Improved-gOMP,optimized,11224.0,768.0,2048.0,0.0,7688.0,248.0,248.0,112.0,104.0,0.0,0.0,8.0,0.0
36,18,Improved-gOMP,baseline,5952.0,768.0,2048.0,0.0,0.0,0.0,2528.0,128.0,120.0,120.0,120.0,120.0,0.0
36,18,Improved-gOMP,optimized,14016.0,768.0,2048.0,0.0,10368.0,288.0,288.0,128.0,120.0,0.0,0.0,8.0,0.0
36,19,Improved-gOMP,baseline,5952.0,768.0,2048.0,0.0,0.0,0.0,2528.0,128.0,120.0,120.0,120.0,120.0,0.0
