matrix_kind,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
partial_dct,9,gOMP,baseline,0.00041962400064221583,2.7087000489700586e-05,5.342199801816605e-05,0.00016939899796852842,3.283099795226008e-05,0.0
partial_dct,9,gOMP,optimized,0.00020904299890389666,2.086699169012718e-05,4.1678998968563974e-05,7.406600343529135e-05,2.4919005227275193e-05,0.0
partial_dct,10,gOMP,baseline,0.0004391490001580678,2.469999890308827e-05,5.675200009136461e-05,0.00016536100156372413,3.548300082911737e-05,0.0
partial_dct,10,gOMP,optimized,0.00021274800019455142,2.12480008485727e-05,4.2518000554991886e-05,7.835400174371898e-05,2.640800448716618e-05,0.0
partial_dct,11,gOMP,baseline,0.00041572600093786605,2.325499735889025e-05,5.4028005251893774e-05,0.0001641630005906336,3.554199429345317e-05,0.0
partial_dct,11,gOMP,optimized,0.0002035670004261192,2.0477003999985754e-05,4.2135001422138885e-05,7.364100019913167e-05,2.4940003640949726e-05,0.0
partial_dct,12,gOMP,baseline,0.00041550099922460504,2.0066003344254568e-05,5.445699571282603e-05,0.00017455800116294995,3.0107003112789243e-05,0.0
partial_dct,12,gOMP,optimized,0.00019918199905077927,1.8042999727185816e-05,4.2331004806328565e-05,7.267500041052699e-05,2.475300061632879e-05,0.0
partial_dct,13,gOMP,baseline,0.0007408070014207624,3.249100336688571e-05,6.673400639556348e-05,0.00019678899843711406,3.643300078692846e-05,0.0
partial_dct,13,gOMP,optimized,0.000638524998066714,3.561799894669093e-05,0.00010526099504204467,0.00025060099869733676,6.281799869611859e-05,0.0
partial_dct,14,gOMP,baseline,0.00046061499961069785,2.3753997083986178e-05,6.593800208065659e-05,0.00018837400784832425,3.72829963453114e-05,0.0
partial_dct,14,gOMP,optimized,0.00022112599981483072,2.2580003133043647e-05,4.400300167617388e-05,8.229200102505274e-05,2.757399488473311e-05,0.0
partial_dct,15,gOMP,baseline,0.0008976129975053482,3.8157999370014295e-05,9.004799721878953e-05,0.0002309359988430515,0.00012045499897794798,0.0
partial_dct,15,gOMP,optimized,0.00029130199982319027,3.58949982910417e-05,5.8763002016348764e-05,0.00010534899774938822,3.0002003768458962e-05,0.0
partial_dct,16,gOMP,baseline,0.0004663379986595828,2.251600380986929e-05,7.707099575782195e-05,0.00017193299208884127,3.4423996112309396e-05,0.0
partial_dct,16,gOMP,optimized,0.00020311499974923208,1.7895003111334518e-05,4.04719976359047e-05,7.584500417578965e-05,2.5264002033509314e-05,0.0
partial_dct,17,gOMP,baseline,0.0004256870015524328,2.3680000595049933e-05,5.46649971511215e-05,0.00017170700084534474,3.6743003875017166e-05,0.0
partial_dct,17,gOMP,optimized,0.00020365999807836488,2.1185001969570294e-05,4.267900294507854e-05,7.231999916257337e-05,2.4744000256760046e-05,0.0
partial_dct,18,gOMP,baseline,0.0004926579968014266,3.0610000976594165e-05,6.682400271529332e-05,0.00019670000256155618,4.259599882061593e-05,0.0
partial_dct,18,gOMP,optimized,0.00021716599803767167,2.24049981625285e-05,4.244400406605564e-05,8.426400381722488e-05,2.6079997041961178e-05,0.0
partial_dct,19,gOMP,baseline,0.000516807001986308,2.865199712687172e-05,6.684700201731175e-05,0.00018551499306340702,6.008499985910021e-05,0.0
partial_dct,19,gOMP,optimized,0.00024215800294768997,3.3833999623311684e-05,4.428000102052465e-05,8.799599891062826e-05,3.0440001864917576e-05,0.0
