coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,10,gOMP,baseline,0.0003924109987565316,1.962899841601029e-05,5.5662003433099017e-05,0.0001564069971209392,2.794800457195379e-05,0.0
gaussian,10,gOMP,optimized,0.00019272099962108769,1.7577003745827824e-05,4.169499879935756e-05,6.910999945830554e-05,2.338899503229186e-05,0.0
gaussian,11,gOMP,baseline,0.0007730170000286307,3.0611001420766115e-05,0.00010213100540568121,0.0003096670006925706,8.272500417660922e-05,0.0
gaussian,11,gOMP,optimized,0.0002532379985495936,2.521399801480584e-05,5.5994994909269735e-05,9.010498979478143e-05,2.7723999664885923e-05,0.0
gaussian,12,gOMP,baseline,0.00039049099723342806,1.943699680850841e-05,5.4782998631708324e-05,0.000155387995619094,2.9104994609951973e-05,0.0
gaussian,12,gOMP,optimized,0.00023098000019672327,1.92909938050434e-05,6.026199844200164e-05,7.837299926904961e-05,2.708699685172178e-05,0.0
gaussian,13,gOMP,baseline,0.0004500540017033927,2.409500302746892e-05,6.279600347625092e-05,0.00017965599909075536,3.808700057561509e-05,0.0
gaussian,13,gOMP,optimized,0.00025444399943808094,2.4067005142569542e-05,5.0362999900244176e-05,8.614000034867786e-05,3.9441998524125665e-05,0.0
gaussian,14,gOMP,baseline,0.00039572599780512974,1.9414997950661927e-05,5.630400846712291e-05,0.00015665899991290644,2.909099930548109e-05,0.0
gaussian,14,gOMP,optimized,0.00019375099873286672,1.6860001778695732e-05,4.351199822849594e-05,6.847400072729215e-05,2.374800169491209e-05,0.0
gaussian,15,gOMP,baseline,0.0005359599999792408,2.7768001018557698e-05,8.411700400756672e-05,0.00019301999782328494,3.97059993701987e-05,0.0
gaussian,15,gOMP,optimized,0.00021856099920114502,2.1444000594783574e-05,4.695999814430252e-05,7.726200055913068e-05,2.6777004677569494e-05,0.0
gaussian,16,gOMP,baseline,0.00039559400102007203,1.893800072139129e-05,5.769900235463865e-05,0.00015676100156269968,2.8896000003442168e-05,0.0
gaussian,16,gOMP,optimized,0.0001995169986912515,1.7096997908083722e-05,4.215199805912562e-05,7.023900252534077e-05,2.8147998818894848e-05,0.0
gaussian,17,gOMP,baseline,0.00041728799988050014,2.2522999643115327e-05,5.722100104321726e-05,0.00016527499246876687,3.2321997423423454e-05,0.0
gaussian,17,gOMP,optimized,0.00020929400125169195,2.1114999981364235e-05,4.4176995288580656e-05,7.370600360445678e-05,2.4925007892306894e-05,0.0
gaussian,18,gOMP,baseline,0.0003890629996021744,1.957700078492053e-05,5.571799920289777e-05,0.0001550919987494126,2.7361998945707455e-05,0.0
gaussian,18,gOMP,optimized,0.00019163400065735914,1.749700095388107e-05,4.1699000576045364e-05,6.791600753786042e-05,2.389499786659144e-05,0.0
gaussian,19,gOMP,baseline,0.00040019999869400635,2.2161006199894473e-05,5.7953006034949794e-05,0.00015614399671903811,3.1995998142519966e-05,0.0
gaussian,19,gOMP,optimized,0.00023879600121290423,3.0099992727627978e-05,5.3363000915851444e-05,8.09399971331004e-05,2.6733996492112055e-05,0.0
rademacher,0,gOMP,baseline,0.00043272300172247924,2.1227002434898168e-05,6.121399565017782e-05,0.00017176200344692916,3.250599911552854e-05,0.0
rademacher,0,gOMP,optimized,0.00021195299996179529,1.866000093286857e-05,4.55959998362232e-05,7.526899935328402e-05,2.7962996682617813e-05,0.0
rademacher,1,gOMP,baseline,0.0008692669980518986,4.898500264971517e-05,0.000121513003250584,0.0002733930050453637,9.312200199929066e-05,0.0
rademacher,1,gOMP,optimized,0.00024716199914109893,2.4055007088463753e-05,5.838600191054866e-05,8.548199912183918e-05,2.7362002583686262e-05,0.0
rademacher,2,gOMP,baseline,0.00043549300244194455,2.03240015252959e-05,6.236699846340343e-05,0.00016481599595863372,4.0512994019081816e-05,0.0
rademacher,2,gOMP,optimized,0.0002475300025253091,1.9269995391368866e-05,4.9179998313775286e-05,9.907299681799486e-05,3.050600571441464e-05,0.0
rademacher,3,gOMP,baseline,0.00042922799912048504,2.3149994376581162e-05,6.009999924572185e-05,0.0001604589997441508,3.190399002050981e-05,0.0
rademacher,3,gOMP,optimized,0.000201903996639885,2.107900581904687e-05,4.456599708646536e-05,6.982699051150121e-05,2.4392000341322273e-05,0.0
rademacher,4,gOMP,baseline,0.0004112980022910051,2.036200021393597e-05,5.8844998420681804e-05,0.00016558399875066243,3.0141000024741516e-05,0.0
rademacher,4,gOMP,optimized,0.000196979999600444,1.7391994333593175e-05,4.2548999772407115e-05,7.06469982105773e-05,2.405800114502199e-05,0.0
rademacher,5,gOMP,baseline,0.0003985129987995606,2.2335003450280055e-05,5.490800685947761e-05,0.00015745400014566258,3.093600025749765e-05,0.0
rademacher,5,gOMP,optimized,0.00019452600099612027,2.0786003005923703e-05,4.089499998372048e-05,6.868299897178076e-05,2.3844993847887963e-05,0.0
rademacher,6,gOMP,baseline,0.000477999998111045,2.5211997126461938e-05,9.950599269359373e-05,0.00017182699957629666,3.2338997698388994e-05,0.0
rademacher,6,gOMP,optimized,0.00022043200078769587,1.868100298452191e-05,4.4588003220269457e-05,7.688700134167448e-05,2.4897002731449902e-05,0.0
rademacher,7,gOMP,baseline,0.00047783899935893714,2.5214001652784646e-05,7.570600064354949e-05,0.00018451299911248498,4.1944000258808956e-05,0.0
rademacher,7,gOMP,optimized,0.0001959569999598898,2.0509003661572933e-05,4.1376002627657726e-05,6.897499770275317e-05,2.415599738014862e-05,0.0
rademacher,8,gOMP,baseline,0.0004925709981762338,2.2755004465579987e-05,6.587900134036317e-05,0.00020021299860673025,4.0376999095315114e-05,0.0
rademacher,8,gOMP,optimized,0.00023181299911811948,2.0710995158879086e-05,5.570400026044808e-05,8.317000538227148e-05,2.669500099727884e-05,0.0
rademacher,9,gOMP,baseline,0.0004410279980220366,2.4367003788938746e-05,6.065399793442339e-05,0.00016456900266348384,3.562899655662477e-05,0.0
rademacher,9,gOMP,optimized,0.00024149100136128254,3.491899406071752e-05,4.8190999223152176e-05,7.745800030534156e-05,3.065199780394323e-05,0.0
rademacher,10,gOMP,baseline,0.00048528099796385504,2.1120995370438322e-05,0.00011246699432376772,0.00017134499648818746,3.6688001273432747e-05,0.0
rademacher,10,gOMP,optimized,0.00024305099941557273,2.1669002308044583e-05,5.247500303084962e-05,9.253699681721628e-05,3.031699452549219e-05,0.0
rademacher,11,gOMP,baseline,0.00039955600004759617,2.2321994038065895e-05,5.5778000387363136e-05,0.00015608300600433722,3.2386993552790955e-05,0.0
rademacher,11,gOMP,optimized,0.00020237500211806037,2.0944000425515696e-05,4.4060001528123394e-05,7.094600368873216e-05,2.440399839542806e-05,0.0
rademacher,12,gOMP,baseline,0.0004144240010646172,2.2408003133023158e-05,5.899700045119971e-05,0.00016370999583159573,3.109799945377745e-05,0.0
rademacher,12,gOMP,optimized,0.00020323399803601205,1.7694997950457036e-05,4.2769996071001515e-05,7.09589985490311e-05,2.4469001800753176e-05,0.0
rademacher,13,gOMP,baseline,0.000444018001871882,2.6843998057302088e-05,6.192600631038658e-05,0.0001736129997880198,3.534200004651211e-05,0.0
rademacher,13,gOMP,optimized,0.0002546989999245852,3.9604001358384266e-05,5.238500307314098e-05,8.53669989737682e-05,2.804799805744551e-05,0.0
rademacher,14,gOMP,baseline,0.00048265700024785474,2.013500125030987e-05,5.573399903369136e-05,0.00023049000083119608,3.4876997233368456e-05,0.0
rademacher,14,gOMP,optimized,0.00021254999955999665,1.931799852172844e-05,4.734399772132747e-05,7.287299740710296e-05,2.4876997485989705e-05,0.0
rademacher,15,gOMP,baseline,0.000742350999644259,4.067000190843828e-05,9.77769996097777e-05,0.00023017599960439838,9.732699618325569e-05,0.0
rademacher,15,gOMP,optimized,0.0002800290021696128,2.528500772314146e-05,5.3267005569068715e-05,0.00011248000373598188,3.137599560432136e-05,0.0
rademacher,16,gOMP,baseline,0.0004590009993989952,2.219100497313775e-05,6.459000360337086e-05,0.0001863510042312555,3.4905006032204255e-05,0.0
rademacher,16,gOMP,optimized,0.0004895560014119837,2.655299977050163e-05,0.00020708000010927208,0.00013258699618745595,4.1057988710235804e-05,0.0
rademacher,17,gOMP,baseline,0.0004650090013456065,2.40400004258845e-05,6.238499554456212e-05,0.00017443699834984727,4.673399598686956e-05,0.0
rademacher,17,gOMP,optimized,0.00020743200002470985,2.0457999198697507e-05,4.336600250098854e-05,7.104100222932175e-05,2.6096997316926718e-05,0.0
rademacher,18,gOMP,baseline,0.00041902299926732667,2.032299744314514e-05,5.920700277783908e-05,0.0001666049938648939,3.1231997127179056e-05,0.0
rademacher,18,gOMP,optimized,0.00022237699886318296,1.9642000552266836e-05,4.631200135918334e-05,8.215900743380189e-05,2.6934005290968344e-05,0.0
rademacher,19,gOMP,baseline,0.0003945759999623988,2.145100006600842e-05,5.465099820867181e-05,0.0001565830098115839,3.0962994060246274e-05,0.0
rademacher,19,gOMP,optimized,0.00024204000146710314,2.757699621724896e-05,5.292899368214421e-05,8.082799831754528e-05,3.063199983444065e-05,0.0
uniform,0,gOMP,baseline,0.0004224759977660142,1.9812996470136568e-05,7.227300375234336e-05,0.00016219099779846147,3.044700133614242e-05,0.0
uniform,0,gOMP,optimized,0.0002037189988186583,1.837899981183e-05,4.5606000639963895e-05,7.234900476760231e-05,2.4144006602000445e-05,0.0
uniform,1,gOMP,baseline,0.000406615999963833,2.2832999093225226e-05,5.6267002946697176e-05,0.0001588489903951995,3.161999848089181e-05,0.0
uniform,1,gOMP,optimized,0.0002255529980175197,2.2224998247111216e-05,4.8461995902471244e-05,7.380200986517593e-05,2.548999327700585e-05,0.0
uniform,2,gOMP,baseline,0.0003937250003218651,2.080299600493163e-05,5.3642001148546115e-05,0.00015842200446058996,2.7936006517848e-05,0.0
uniform,2,gOMP,optimized,0.0002569739990576636,1.8956005078507587e-05,8.144899766193703e-05,7.866799569455907e-05,2.7517995476955548e-05,0.0
uniform,3,gOMP,baseline,0.0005294210022839252,2.390700319665484e-05,6.060599844204262e-05,0.00016195399439311586,3.4168002457590774e-05,0.0
uniform,3,gOMP,optimized,0.00024215400117100216,2.4078995920717716e-05,5.333900116966106e-05,8.383699605474249e-05,2.6172001525992528e-05,0.0
uniform,4,gOMP,baseline,0.00039201200343086384,1.893499938887544e-05,5.500300176208839e-05,0.0001588869927218184,2.8445992938941345e-05,0.0
uniform,4,gOMP,optimized,0.00019619700105977245,1.781400351319462e-05,4.1603994759498164e-05,7.007300155237317e-05,2.434899943182245e-05,0.0
uniform,5,gOMP,baseline,0.0003945200005546212,2.2250002075452358e-05,5.410100129665807e-05,0.00015495399929932319,3.136799932690337e-05,0.0
uniform,5,gOMP,optimized,0.00020492600015131757,2.082900027744472e-05,4.756799535243772e-05,7.030899723758921e-05,2.423999467282556e-05,0.0
uniform,6,gOMP,baseline,0.00041007899926626123,1.9572999008232728e-05,5.920500188949518e-05,0.00016499899356858805,2.9475999326677993e-05,0.0
uniform,6,gOMP,optimized,0.0001939590001711622,1.763600084814243e-05,4.2055005906149745e-05,6.925200068508275e-05,2.3816995962988585e-05,0.0
uniform,7,gOMP,baseline,0.0008203350007534027,2.352699448238127e-05,6.535400461871177e-05,0.00017816499894252047,0.00027693600350175984,0.0
uniform,7,gOMP,optimized,0.0006124179999460466,5.7075998483924195e-05,0.00016000799951143563,0.00022072900537750684,8.377999984077178e-05,0.0
uniform,8,gOMP,baseline,0.0004156620016146917,2.561399742262438e-05,5.965300078969449e-05,0.0001634619948163163,2.9640999855473638e-05,0.0
uniform,8,gOMP,optimized,0.0002634409975144081,2.353399759158492e-05,6.660600047325715e-05,9.248400237993337e-05,3.224500687792897e-05,0.0
uniform,9,gOMP,baseline,0.0004815259999304544,2.5362995074829087e-05,8.697299199411646e-05,0.00017437199858250096,3.6907000321662053e-05,0.0
uniform,9,gOMP,optimized,0.00019972000154666603,2.06079930649139e-05,4.260699643054977e-05,7.108399586286396e-05,2.401599704171531e-05,0.0
uniform,10,gOMP,baseline,0.00039302900040638633,2.020099782384932e-05,5.4820000514155254e-05,0.00015638599870726466,2.8854996344307438e-05,0.0
