trial,measurement_ratio,algorithm,m,n,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
6,0.25,RMP,64,256,gaussian,gaussian,20.0,0.05000089431522952,0.029520465144757067,0.1718152063839434,0.75,0.75,0,0.0018071999948006123,16,16.0,0.3513721559822701,target_sparsity_reached,4,4,0.0007437999884132296,1.0,False,,0,0,2.9116086438864417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25,OMP,64,256,gaussian,gaussian,20.0,0.07890800890550868,0.003203366451630366,0.056598290182923075,0.9375,0.9375,0,0.0010437000019010156,16,16.0,0.42417190087617246,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.243899151626015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.07890800890550868,0.002809692497215868,0.053006532590010716,0.9375,0.9375,0,0.0004522999806795269,6,16.0,0.4565786615472661,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,2.4454501318828985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.07890800890550868,0.011276931626367975,0.10619289819177163,0.8125,1.0,0,0.0014235000126063824,5,13.0,0.6492255793556044,noise_floor,0,3,0.0001564000267535448,17.6,True,,0,0,1.9831494077021625,0.0,0.0,0.0,0.0,1.0,0.0,1.0
7,0.25,RMP,64,256,gaussian,gaussian,20.0,0.07890800890550868,0.00320336645163036,0.05659829018292302,0.9375,0.9375,0,0.0011713000130839646,16,16.0,0.42417190087617246,target_sparsity_reached,1,1,0.0004536999040283263,1.0,False,,0,0,2.243899151626015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.25,OMP,64,256,gaussian,gaussian,20.0,0.05745005872045632,0.010009358593913923,0.10004678202677945,0.875,0.875,0,0.0009074999834410846,16,16.0,0.39349753021011175,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.53054290872739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.05745005872045632,0.012057629740519504,0.1098072390169223,0.8125,0.8125,0,0.00037579998024739325,6,16.0,0.4657049497206895,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.994941412519424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.05745005872045632,0.010132651544528665,0.10066107263748318,0.875,0.875,0,0.0014491999754682183,6,16.0,0.3936430967305354,target_sparsity_reached,2,2,0.00013449994730763137,17.5,True,cholesky_solve,1,0,2.5628468336834294,1.0,1.0,0.0,0.0,1.0,0.0,1.0
8,0.25,RMP,64,256,gaussian,gaussian,20.0,0.05745005872045632,0.010009358593913923,0.10004678202677945,0.875,0.875,0,0.0009385000157635659,16,16.0,0.39349753021011163,target_sparsity_reached,2,2,0.00039910004124976695,1.0,False,,0,0,2.53054290872739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.25,OMP,64,256,gaussian,gaussian,20.0,0.05199844378641439,0.009184544035282828,0.09583602681289968,0.9375,0.9375,0,0.0008910000033210963,16,16.0,0.37752944200286637,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.5793227949302726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.05199844378641439,0.02326914178162781,0.15254226228041792,0.75,0.75,0,0.000397899973904714,6,16.0,0.48099450584786746,target_sparsity_reached,4,4,0.0,3.0,False,,0,0,2.9105580006080523,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.05199844378641439,0.1077104171583601,0.3281926525051408,0.5625,0.5625,0,0.002029499999480322,7,16.0,0.478713486723517,target_sparsity_reached,7,7,0.00015980005264282227,15.0,True,cholesky_solve,1,0,2.8374602582839668,1.0,1.0,0.0,0.0,1.0,0.0,1.0
9,0.25,RMP,64,256,gaussian,gaussian,20.0,0.05199844378641439,0.009184544035282842,0.09583602681289977,0.9375,0.9375,0,0.0009553000272717327,16,16.0,0.37752944200286626,target_sparsity_reached,1,1,0.0003908999788109213,1.0,False,,0,0,2.5793227949302726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.25,OMP,64,256,gaussian,gaussian,20.0,0.05202629631179882,0.01679357399925954,0.12959002276124323,0.8125,0.8125,0,0.0009713999752420932,16,16.0,0.3604949926622858,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.6889594794992826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.25,gOMP,64,256,gaussian,gaussian,20.0,0.05202629631179882,0.029905802679122163,0.17293294272382623,0.75,0.75,0,0.0004327000060584396,6,16.0,0.44472543183562624,target_sparsity_reached,4,4,0.0,3.0,False,,0,0,2.499496265425874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.25,Improved-gOMP,64,256,gaussian,gaussian,20.0,0.05202629631179882,0.027521004789098885,0.1658945592510462,0.75,0.8,0,0.001346899982308969,5,15.0,0.4557758606590424,noise_floor,3,4,0.00011900003300979733,19.2,True,cholesky_solve,1,0,2.4839831751747434,1.0,1.0,0.0,0.0,1.0,0.0,1.0
