trial,matrix_kind,algorithm,implementation,label,m,n,measurement_ratio,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
3,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.040772808862278694,0.0027773579992620727,0.05270064515034017,0.9375,0.9375,0,0.0006475059926742688,6,16.0,0.3796335097664017,target_sparsity_reached,1,1,0.00026091701874975115,3.0,False,,0,0,2.0635301941074937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.9142014682292938e-05,9.613799920771271e-05,0.00026091701874975115,5.114999657962471e-05,0.0
3,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.040772808862278694,0.002777357997098794,0.052700645129815954,0.9375,0.9375,0,0.0003390420024516061,6,16.0,0.37963350976640176,target_sparsity_reached,1,1,0.00011086798622272909,3.0,True,,0,0,2.0635301941074937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,4.8026005970314145e-05,8.077800157479942e-05,0.00011086798622272909,3.298402589280158e-05,0.0
3,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.040772808862278694,0.007074653662132003,0.08411096041617884,0.875,0.875,0,0.002872811004635878,6,16.0,0.4090645400320396,target_sparsity_reached,2,2,0.00024670099082868546,17.666666666666668,False,,0,0,2.27183926728299,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3528.0,768.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.158599429298192e-05,0.0020357810135465115,0.00019850899116136134,3.910601662937552e-05,0.000173807013197802
3,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.040772808862278694,0.003914928170535857,0.06256938684800945,0.9375,0.9375,0,0.00149814500764478,6,16.0,0.36296025104564966,target_sparsity_reached,1,1,0.00017835899780038744,0.0,True,,0,0,1.9277232067047885,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5232.0,768.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0,2.8234004275873303e-05,0.0007193450001068413,0.0003559729811968282,6.89309963490814e-05,0.00014126900350674987
4,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.04551911828604429,0.006296131104207543,0.07934816383639601,0.875,0.875,0,0.0013020879996474832,16,16.0,0.3585190543554024,target_sparsity_reached,2,2,0.000513511011376977,1.0,False,,0,0,1.932226577642909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,8.281500777229667e-05,0.0001371149846818298,0.000513511011376977,0.00011487503070384264,0.0
4,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.04551911828604429,0.0062961311027595135,0.07934816382727147,0.875,0.875,0,0.0006279749941313639,16,16.0,0.3585190543554024,target_sparsity_reached,2,2,0.00023761001648381352,1.0,True,,0,0,1.932226577642909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,7.516898040194064e-05,2.3361993953585625e-05,0.00023761001648381352,8.239499584306031e-05,0.0001203820138471201
4,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.04551911828604429,0.004240549946907666,0.06511950511872511,0.875,0.875,0,0.0005666429933626205,6,16.0,0.3787463450869556,target_sparsity_reached,2,2,0.00022484500368591398,3.0,False,,0,0,2.0244907554208256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,3.350299084559083e-05,7.371899846475571e-05,0.00022484500368591398,5.373000749386847e-05,0.0
4,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.04551911828604429,0.004240549944706486,0.06511950510182403,0.875,0.875,0,0.00025069399271160364,6,16.0,0.3787463450869556,target_sparsity_reached,2,2,8.831497689243406e-05,3.0,True,,0,0,2.0244907554208256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.515899541322142e-05,5.070600309409201e-05,8.831497689243406e-05,3.2248019124381244e-05,0.0
4,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.04551911828604429,0.007466785511572341,0.08641056365730027,0.75,0.9230769230769231,0,0.003388109995285049,5,13.0,0.471352244545056,noise_floor,1,4,0.0002553789963712916,18.0,False,,0,0,1.9969779115674442,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3360.0,768.0,2048.0,0.0,0.0,0.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,3.322800330352038e-05,0.0026265749911544845,0.0002663329942151904,5.6428994867019355e-05,7.959999493323267e-06
4,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.04551911828604429,0.008271812028462082,0.09094950262899781,0.75,0.9230769230769231,0,0.0014820029900874943,5,13.0,0.46074595441090965,noise_floor,1,4,0.00016493101429659873,0.0,True,,0,0,1.8481540424679725,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0,3.301301330793649e-05,0.0008808290003798902,0.0003220729995518923,4.964301479049027e-05,3.8320140447467566e-06
5,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.03898687234835521,0.0024270582001937415,0.049265182433375215,0.9375,0.9375,0,0.002352509996853769,16,16.0,0.2926863271335221,target_sparsity_reached,1,1,0.0008811610023258254,1.0,False,,0,0,1.9366478132525495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,0.0001563880214234814,0.0002579429710749537,0.0008811610023258254,0.0002474979846738279,0.0
5,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.03898687234835521,0.002427058200849832,0.04926518244003398,0.9375,0.9375,0,0.0012031770020257682,16,16.0,0.29268632713352205,target_sparsity_reached,1,1,0.0004665890010073781,1.0,True,,0,0,1.9366478132525495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,0.00013482004578690976,6.0224003391340375e-05,0.0004665890010073781,0.000165113975526765,0.00024565002240706235
5,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.03898687234835521,0.00243617347727271,0.04935760809918477,0.9375,0.9375,0,0.0009371009946335107,6,16.0,0.2933703447800144,target_sparsity_reached,1,1,0.00033129300572909415,3.0,False,,0,0,1.9192822196107484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,4.7367982915602624e-05,0.0001379669993184507,0.00033129300572909415,9.258100180886686e-05,0.0
5,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.03898687234835521,0.002436173476724335,0.04935760809362965,0.9375,0.9375,0,0.0004617970116669312,6,16.0,0.29337034478001434,target_sparsity_reached,1,1,0.00016029899416025728,3.0,True,,0,0,1.9192822196107484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,3.8331010728143156e-05,0.0001080319780157879,0.00016029899416025728,6.063898035790771e-05,0.0
5,gaussian,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,20.0,0.03898687234835521,0.003489718325864343,0.0590738379137867,0.875,0.875,0,0.004812326005776413,6,16.0,0.32704300080454185,target_sparsity_reached,2,2,0.00044003700895700604,17.5,False,,0,0,2.204975273399472,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3528.0,768.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,5.121999129187316e-05,0.003376151973498054,0.0003786429879255593,9.222299559041858e-05,0.0002856890205293894
5,gaussian,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,20.0,0.03898687234835521,0.0065395370869801425,0.08086740435416573,0.8125,1.0,0,0.0018506089982111007,5,13.0,0.3628026727296419,noise_floor,0,3,0.0001991660101339221,0.0,True,,0,0,1.8162959479257443,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4472.0,768.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0,4.7039982746355236e-05,0.0009825390006881207,0.0003928820078726858,6.670798757113516e-05,5.0549861043691635e-06
6,gaussian,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,20.0,0.050481208678627376,0.005273889568064829,0.07262155030061551,0.9375,0.9375,0,0.0017793519946280867,16,16.0,0.4495709255761989,target_sparsity_reached,1,1,0.0005915380315855145,1.0,False,,0,0,2.0082217663180373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,0.00012250401778146625,0.00017670501256361604,0.0005915380315855145,0.00023820201749913394,0.0
6,gaussian,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,20.0,0.050481208678627376,0.005273889564427926,0.0726215502755754,0.9375,0.9375,0,0.0006121400074334815,16,16.0,0.4495709255761989,target_sparsity_reached,1,1,0.0002404739789199084,1.0,True,,0,0,2.0082217663180373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,6.744002166669816e-05,2.49580480158329e-05,0.0002404739789199084,7.842500053811818e-05,0.00012393700308166444
6,gaussian,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,20.0,0.050481208678627376,0.004899593744159017,0.06999709811241475,0.9375,0.9375,0,0.000560275002499111,6,16.0,0.49734083178430366,target_sparsity_reached,1,1,0.00022922801144886762,3.0,False,,0,0,2.155997002587287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.905698784161359e-05,7.531102164648473e-05,0.00022922801144886762,4.595200880430639e-05,0.0
6,gaussian,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,20.0,0.050481208678627376,0.004899593742394334,0.06999709809980936,0.9375,0.9375,0,0.00033745499968063086,6,16.0,0.4973408317843038,target_sparsity_reached,1,1,0.00010182301048189402,3.0,True,,0,0,2.155997002587287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,4.1969993617385626e-05,6.237499474082142e-05,0.00010182301048189402,6.60290097584948e-05,0.0
