k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,21,Improved-gOMP,baseline,0.0006080860002839472,8.328999683726579e-06,0.00036641199767473154,2.3428005079040304e-05,1.0536998161114752e-05,0.00011761099813156761
4,21,Improved-gOMP,optimized,0.00034029900052701123,7.773000106681138e-06,0.00011759599874494597,5.8817004173761234e-05,1.065900141838938e-05,0.00010290999853168614
4,22,Improved-gOMP,baseline,0.0007740180008113384,8.658000297145918e-06,0.0005158480016689282,2.707399835344404e-05,1.0878000466618687e-05,0.00011228099901927635
4,22,Improved-gOMP,optimized,0.0004145220009377226,8.560997230233625e-06,0.0001359430025331676,7.507899863412604e-05,1.47380014823284e-05,0.00012714199692709371
4,23,Improved-gOMP,baseline,0.0006149319997348357,7.736998668406159e-06,0.00038271000084932894,2.3529999452875927e-05,1.034099841490388e-05,0.00010793499677674845
4,23,Improved-gOMP,optimized,0.0004690790010499768,8.855000487528741e-06,0.0001339739974355325,6.659700011368841e-05,1.2880998838227242e-05,0.0001616650006326381
4,24,Improved-gOMP,baseline,0.0006260289992496837,8.01699934527278e-06,0.0003977599953941535,2.5597000785637647e-05,1.020600029733032e-05,9.674000102677383e-05
4,24,Improved-gOMP,optimized,0.0003801589991780929,7.394999556709081e-06,0.00014217000352800824,6.448100248235278e-05,1.1364001693436876e-05,0.00010893400030909106
4,25,Improved-gOMP,baseline,0.0005427280011645053,7.829003152437508e-06,0.000341381997714052,2.2260999685386196e-05,9.80800177785568e-06,8.790100400801748e-05
4,25,Improved-gOMP,optimized,0.0004720780016214121,8.347000402864069e-06,0.00013227100134827197,7.98680011939723e-05,1.5452998923137784e-05,0.00017291299809585325
4,26,Improved-gOMP,baseline,0.0006279239969444461,7.181999535532668e-06,0.00039278799886233173,2.4954999389592558e-05,9.837000106927007e-06,0.00010147399734705687
4,26,Improved-gOMP,optimized,0.0003604119992814958,7.246995664900169e-06,0.00012303300172789022,6.33570016361773e-05,1.0878000466618687e-05,0.00010711100185289979
4,27,Improved-gOMP,baseline,0.0006340489999274723,8.514998626196757e-06,0.0004072339979757089,2.5040000764420256e-05,1.0588995792204514e-05,9.827000030782074e-05
4,27,Improved-gOMP,optimized,0.00043353400178602897,8.014001650735736e-06,0.00013842399857821874,6.555999789270572e-05,1.2780001270584762e-05,0.00015979200179572217
4,28,Improved-gOMP,baseline,0.0005933609972998966,7.055001333355904e-06,0.0003670999976748135,2.4217995814979076e-05,9.760999091668054e-06,9.834599768510088e-05
4,28,Improved-gOMP,optimized,0.0003745800022443291,7.283997547347099e-06,0.00012103700282750651,8.311400233651511e-05,1.192499985336326e-05,0.00010444199870107695
4,29,Improved-gOMP,baseline,0.000576939000893617,8.02100112196058e-06,0.00035433199809631333,2.499400216038339e-05,1.8889000784838572e-05,9.022799713420682e-05
4,29,Improved-gOMP,optimized,0.00041228600093745627,9.013001545099542e-06,0.00012666900147451088,6.369000038830563e-05,1.1885000276379287e-05,0.0001492019982833881
8,0,Improved-gOMP,baseline,0.0012656760009122081,1.3351007510209456e-05,0.0007774009973218199,5.643699842039496e-05,1.8023998563876376e-05,0.00025866000578389503
8,0,Improved-gOMP,optimized,0.0006252379971556365,1.3551001757150516e-05,0.00038639800186501816,0.00012507600331446156,2.2001000616000965e-05,1.543998223496601e-06
8,1,Improved-gOMP,baseline,0.0011215759986953344,1.2642001820495352e-05,0.0006721669997205026,5.656199937220663e-05,1.560800228617154e-05,0.0002392310016148258
8,1,Improved-gOMP,optimized,0.00045810300071025267,1.1991996871074662e-05,0.0002391300004092045,0.0001014199988276232,1.9071994756814092e-05,1.4090037439018488e-06
8,2,Improved-gOMP,baseline,0.0006102269981056452,6.819002010161057e-06,0.0003469699986453634,4.4055996113456786e-05,1.2246997357578948e-05,0.00010666299931472167
8,2,Improved-gOMP,optimized,0.0004390880021674093,1.064100069925189e-05,0.0002371460032009054,0.00010575500346021727,1.6549001884413883e-05,1.43899887916632e-06
8,3,Improved-gOMP,baseline,0.0010400060018582735,1.221899947267957e-05,0.0006206239995663054,4.604000787367113e-05,1.5005996829131618e-05,0.0002293519937666133
8,3,Improved-gOMP,optimized,0.00047271099901990965,1.4125002053333446e-05,0.00025395999546162784,0.0001068660021701362,1.848299871198833e-05,1.4280012692324817e-06
8,4,Improved-gOMP,baseline,0.0014153690026432741,1.8611000996315852e-05,0.0008413239993387833,7.318300413317047e-05,2.251200203318149e-05,0.00026431399601278827
8,4,Improved-gOMP,optimized,0.00046143999861669727,1.1061001714551821e-05,0.0002437270013615489,0.00011832499876618385,1.797300501493737e-05,1.382002665195614e-06
8,5,Improved-gOMP,baseline,0.0011403780008549802,1.3622000551549718e-05,0.0006611120006709825,5.092500214232132e-05,1.655799860600382e-05,0.0002591099982964806
8,5,Improved-gOMP,optimized,0.00045354999747360125,1.20390068332199e-05,0.0002470139988872688,0.00010592500257189386,1.9701998098753393e-05,1.6060039342846721e-06
8,6,Improved-gOMP,baseline,0.0011128830010420643,1.0944000678136945e-05,0.0006375320008373819,4.85500022477936e-05,1.4458993973676115e-05,0.00027115199918625876
8,6,Improved-gOMP,optimized,0.000439062001532875,1.0925999958999455e-05,0.00024076200497802347,0.00010331600060453638,1.6517999029019848e-05,1.500997313996777e-06
8,7,Improved-gOMP,baseline,0.0013176989996281918,2.4746001145103946e-05,0.0007909390005806927,5.6556000345153734e-05,1.7324997315881774e-05,0.00025327299954369664
8,7,Improved-gOMP,optimized,0.000613508000242291,1.2858999980380759e-05,0.0003772690033656545,0.00012320799942244776,2.0561998098855838e-05,1.6459998732898384e-06
8,8,Improved-gOMP,baseline,0.0010634640020725783,1.0661999112926424e-05,0.0006284699993557297,4.7527999413432553e-05,1.4042005204828456e-05,0.00023904500267235562
8,8,Improved-gOMP,optimized,0.0005040629985160194,1.0916002793237567e-05,0.00025068000104511157,0.00015200300549622625,1.9951003196183592e-05,1.5229998098220676e-06
8,9,Improved-gOMP,baseline,0.0018924709984275978,1.6672998754074797e-05,0.0011134169981232844,7.427300079143606e-05,2.290799966431223e-05,0.0004678859950217884
8,9,Improved-gOMP,optimized,0.0006299199994828086,1.717100167297758e-05,0.00035560899414122105,0.00014429000293603167,2.3009000869933516e-05,1.8270002328790724e-06
