snr_db,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
5.0,49,OMP,optimized,0.0005527210014406592,5.1700990297831595e-05,2.1802974515594542e-05,0.00021858599211554974,7.220201950985938e-05,0.00011868197179865092
5.0,50,OMP,baseline,0.0011342329962644726,7.596204522997141e-05,0.00012198598415125161,0.00045773804595228285,0.00012198100739624351,0.0
5.0,50,OMP,optimized,0.0005583599995588884,6.14859745837748e-05,2.2342006559483707e-05,0.00022630402236245573,7.092097075656056e-05,0.00010942602239083499
5.0,51,OMP,baseline,0.000989877007668838,6.44490064587444e-05,9.922000754158944e-05,0.0003919360169675201,9.092902473639697e-05,0.0
5.0,51,OMP,optimized,0.0004977239877916873,4.8716014134697616e-05,2.000400854740292e-05,0.00020017802307847887,6.62739621475339e-05,0.00010229801409877837
5.0,52,OMP,baseline,0.0010180469980696216,6.95120106684044e-05,0.00010028702672570944,0.00037489901296794415,9.32320108404383e-05,0.0
5.0,52,OMP,optimized,0.0005398010107455775,5.590102227870375e-05,2.0292995031923056e-05,0.00020481804676819593,7.023802027106285e-05,0.00011811898730229586
5.0,53,OMP,baseline,0.0012320240057306364,7.671401544939727e-05,0.00016095195314846933,0.00045135102118365467,0.00013538001803681254,0.0
5.0,53,OMP,optimized,0.0007179509993875399,5.722195783164352e-05,2.5404049665667117e-05,0.00025808300415519625,8.484801219310611e-05,0.00014459002704825252
5.0,54,OMP,baseline,0.0016148090071510524,0.00012049601355101913,0.00017653501708991826,0.0006164709920994937,0.00020081602269783616,0.0
5.0,54,OMP,optimized,0.0006916650017956272,8.203300239983946e-05,2.8607973945327103e-05,0.0002560820139478892,9.100300667341799e-05,0.00014681999164167792
5.0,55,OMP,baseline,0.0011232550023123622,6.991099508013576e-05,0.00011750200064852834,0.00042143999598920345,0.00010506300895940512,0.0
5.0,55,OMP,optimized,0.0005851689929841086,5.349300045054406e-05,2.234500425402075e-05,0.00023104698630049825,7.524900138378143e-05,0.00013206798757892102
5.0,56,OMP,baseline,0.0009677880007075146,7.42600386729464e-05,9.976004366762936e-05,0.00037836302362848073,8.846000127959996e-05,0.0
5.0,56,OMP,optimized,0.0005567729967879131,5.647401849273592e-05,2.1440020645968616e-05,0.00020514102652668953,7.491398719139397e-05,0.00013015801960136741
5.0,57,OMP,baseline,0.0015512490062974393,0.0001051769795594737,0.00017912099428940564,0.0005753379518864676,0.0001837829768192023,0.0
5.0,57,OMP,optimized,0.0006209270068211481,7.497100159525871e-05,2.5260989787057042e-05,0.00023715900897514075,7.391702092718333e-05,0.00012065196642652154
5.0,58,OMP,baseline,0.0010866250086110085,7.378197915386409e-05,0.00010322600428480655,0.0004012090357718989,0.00016113901801872998,0.0
5.0,58,OMP,optimized,0.0005723079957533628,6.44879910396412e-05,2.7726986445486546e-05,0.0002153710083803162,7.499096682295203e-05,0.00011366006219759583
5.0,59,OMP,baseline,0.0017290510004386306,9.692899766378105e-05,0.00024705402029212564,0.0007121829694369808,0.0001706170296529308,0.0
5.0,59,OMP,optimized,0.0007709070050623268,0.00010634296631906182,2.9535949579440057e-05,0.00027802200929727405,9.940100426319987e-05,0.0001585700229043141
5.0,60,OMP,baseline,0.0011931820044992492,7.434604049194604e-05,0.00019537104526534677,0.0004590470198309049,0.00011316601012367755,0.0
5.0,60,OMP,optimized,0.0005860800010850653,6.29449641564861e-05,2.2348001948557794e-05,0.00023627295740880072,7.77480163378641e-05,0.00011592102237045765
5.0,61,OMP,baseline,0.0009839120029937476,6.144899816717952e-05,0.00010392004332970828,0.000404648992116563,8.625898044556379e-05,0.0
5.0,61,OMP,optimized,0.0005413030012277886,5.128001794219017e-05,2.187401696573943e-05,0.00021102401660755277,8.230800449382514e-05,0.00010946902330033481
5.0,62,OMP,baseline,0.0010048749973066151,6.951998511794955e-05,0.00011086299491580576,0.0003981689806096256,9.835598757490516e-05,0.0
5.0,62,OMP,optimized,0.0005997300031594932,6.298602966126055e-05,2.3428015992976725e-05,0.00024711000151000917,7.634700159542263e-05,0.00011486899165902287
5.0,63,OMP,baseline,0.0009457400010433048,5.757296457886696e-05,0.00011520498082973063,0.00037189699651207775,8.765602251514792e-05,0.0
5.0,63,OMP,optimized,0.0005527770117623731,5.599304859060794e-05,2.168297942262143e-05,0.00021657896286342293,7.310599903576076e-05,0.0001134120102506131
