measurement_ratio,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
0.25,19,OMP,baseline,0.0009033409987750929,5.090299964649603e-05,9.37269905989524e-05,0.00036230300247552805,7.536001066910103e-05,0.0
0.25,19,OMP,optimized,0.0005367749981814995,4.4827003875980154e-05,2.536000101827085e-05,0.0002231880062026903,7.147100768634118e-05,0.0001052790139510762
0.3125,0,OMP,baseline,0.0008934679972298909,5.2564999350579455e-05,9.105600111070089e-05,0.0003614190027292352,7.983299292391166e-05,0.0
0.3125,0,OMP,optimized,0.0006637890001002233,4.9947990191867575e-05,2.495099397492595e-05,0.00022866999643156305,8.089399489108473e-05,0.00020463498731260188
0.3125,1,OMP,baseline,0.0009047579987964127,6.537100489367731e-05,9.377899914397858e-05,0.0003642329902504571,8.159900244208984e-05,0.0
0.3125,1,OMP,optimized,0.00047106800047913566,4.315899423090741e-05,1.7351001588394865e-05,0.0001958880020538345,6.217400368768722e-05,9.420401329407468e-05
0.3125,2,OMP,baseline,0.0009565879990987014,5.199699444347061e-05,9.533799675409682e-05,0.00041182999120792374,8.413599061896093e-05,0.0
0.3125,2,OMP,optimized,0.0008458699994662311,7.749800715828314e-05,3.482200554572046e-05,0.00031942400892148726,0.0001664870032982435,0.0001620619914319832
0.3125,3,OMP,baseline,0.0008396670018555596,5.123400842421688e-05,8.610900113126263e-05,0.00034010900708381087,7.65309960115701e-05,0.0
0.3125,3,OMP,optimized,0.0005277210002532229,4.667001485358924e-05,1.9562994566513225e-05,0.0002182139942306094,7.142399408621714e-05,0.00011242299660807475
0.3125,4,OMP,baseline,0.002067859000817407,0.00017182400188175961,0.0001944190044014249,0.0008377229969482869,0.0002018610030063428,0.0
0.3125,4,OMP,optimized,0.0006823549992986955,6.506800127681345e-05,3.1356001272797585e-05,0.00027766000130213797,9.497500650468282e-05,0.00012749900270137005
0.3125,5,OMP,baseline,0.0008537380017514806,4.9177997425431386e-05,8.805100151221268e-05,0.00034939699980895966,7.552800889243372e-05,0.0
0.3125,5,OMP,optimized,0.0004656960009015165,4.2955005483236164e-05,1.6899000911507756e-05,0.00018528099826653488,6.318200757959858e-05,9.748999946168624e-05
0.3125,6,OMP,baseline,0.000850713000545511,5.193300967221148e-05,9.069700172403827e-05,0.0003415609899093397,7.460499909939244e-05,0.0
0.3125,6,OMP,optimized,0.00045028199747321196,4.339600127423182e-05,1.697900370345451e-05,0.0001782549916242715,6.23600062681362e-05,9.27500041143503e-05
0.3125,7,OMP,baseline,0.0008714610012248158,4.912699296255596e-05,0.00010182899859501049,0.0003479850056464784,7.591000394313596e-05,0.0
0.3125,7,OMP,optimized,0.00045110800056136213,4.228199759381823e-05,1.762100146152079e-05,0.0001797479999368079,6.265999400056899e-05,9.248799324268475e-05
0.3125,8,OMP,baseline,0.0008524679979018401,5.213699478190392e-05,8.671300383866765e-05,0.00034532800054876134,7.307800478884019e-05,0.0
0.3125,8,OMP,optimized,0.0004978959987056442,4.5679000322707e-05,1.888700353447348e-05,0.00018969100347021595,8.071901174844243e-05,0.00010032001227955334
0.3125,9,OMP,baseline,0.0008675349999975879,5.268000313662924e-05,8.913300189306028e-05,0.00033765901025617495,9.554300777381286e-05,0.0
0.3125,9,OMP,optimized,0.0005921390002185944,5.090500053483993e-05,2.2879998141434044e-05,0.000252510992140742,8.324299415107816e-05,0.00010998399011441506
0.3125,10,OMP,baseline,0.0008047459996305406,4.9656006012810394e-05,8.6219995864667e-05,0.0003235620024497621,6.944799315533601e-05,0.0
0.3125,10,OMP,optimized,0.00074090099951718,5.179499930818565e-05,6.181699791341089e-05,0.0002907289999711793,0.00010438899698783644,0.00015204300143523142
0.3125,11,OMP,baseline,0.0008936939993873239,4.681899372371845e-05,8.712999988347292e-05,0.00033792499743867666,7.013100184849463e-05,0.0
0.3125,11,OMP,optimized,0.0005572020018007606,4.955000622430816e-05,1.993900878005661e-05,0.00023532300474471413,7.597198782605119e-05,0.00010438799290568568
0.3125,12,OMP,baseline,0.001034884000546299,7.62169947847724e-05,9.730599413160235e-05,0.0003719220076163765,8.573100058129057e-05,0.0
0.3125,12,OMP,optimized,0.00045912799760117196,4.215199805912562e-05,1.798400262487121e-05,0.00018795800497173332,6.21109975327272e-05,9.37610020628199e-05
0.3125,13,OMP,baseline,0.0008532559986633714,4.8985009925672784e-05,9.115099965129048e-05,0.0003438279891270213,8.222201358876191e-05,0.0
0.3125,13,OMP,optimized,0.0004920159990433604,4.376199285616167e-05,1.9581999367801473e-05,0.00020165400201221928,6.702599421259947e-05,9.857898839982226e-05
0.3125,14,OMP,baseline,0.0008665709974593483,5.250600224826485e-05,9.071400199900381e-05,0.0003492649884719867,7.483599620172754e-05,0.0
0.3125,14,OMP,optimized,0.0004921039981127251,4.3029995140386745e-05,1.874900408438407e-05,0.0001900529969134368,7.880599878262728e-05,9.774200225365348e-05
0.3125,15,OMP,baseline,0.0008365790017705876,5.184999099583365e-05,9.216900070896372e-05,0.0003346639932715334,7.511501462431625e-05,0.0
0.3125,15,OMP,optimized,0.0004895439997198991,4.402500780997798e-05,1.908100239234045e-05,0.00018960899251396768,6.550599937327206e-05,0.00011134000669699162
0.3125,16,OMP,baseline,0.0008607609997852705,5.265100480755791e-05,8.678899757796898e-05,0.00034292999043827876,7.447399548254907e-05,0.0
0.3125,16,OMP,optimized,0.00044852499922853895,4.2610005039023235e-05,1.7848007701104507e-05,0.00017822100562625565,6.147400199552067e-05,9.144599971477874e-05
0.3125,17,OMP,baseline,0.001993270998355001,0.0001655939886404667,0.00024490699797752313,0.0007781970089126844,0.00013635799041367136,0.0
0.3125,17,OMP,optimized,0.00045904299986432306,4.262899165041745e-05,1.7722002667142078e-05,0.00018101900423062034,6.337800732580945e-05,9.484599650022574e-05
0.3125,18,OMP,baseline,0.0008007750002434477,4.661199636757374e-05,8.278899986180477e-05,0.00031335200401372276,6.747900624759495e-05,0.0
0.3125,18,OMP,optimized,0.0004609440002241172,4.367200017441064e-05,1.8611994164530188e-05,0.00018492199887987226,6.371199560817331e-05,9.362100172438659e-05
0.3125,19,OMP,baseline,0.000896355999429943,5.245500142336823e-05,9.813299766392447e-05,0.00034936600786750205,8.623699613963254e-05,0.0
0.3125,19,OMP,optimized,0.0004915230019832961,4.500899376580492e-05,1.861500641098246e-05,0.0002043129970843438,6.685199696221389e-05,9.771198892849497e-05
0.375,0,OMP,baseline,0.0009098490008909721,5.5618998885620385e-05,9.661400690674782e-05,0.00036696099778055213,8.224100383813493e-05,0.0
0.375,0,OMP,optimized,0.0005460199972731061,5.105300078867003e-05,2.452899207128212e-05,0.000204419997317018,8.436899952357635e-05,0.00011321699275868014
0.375,1,OMP,baseline,0.0010388860027887858,7.280999852810055e-05,0.00011223200272070244,0.0003893020002578851,9.408400001120754e-05,0.0
0.375,1,OMP,optimized,0.0005046619990025647,5.7922006817534566e-05,1.8968992662848905e-05,0.00019442100165179,6.81409946992062e-05,0.00010153700350201689
0.375,2,OMP,baseline,0.0009056310009327717,6.100100290495902e-05,9.133100320468657e-05,0.00036378098957356997,8.44590031192638e-05,0.0
0.375,2,OMP,optimized,0.0005222839972702786,4.674199590226635e-05,2.0495004719123244e-05,0.00021708799977204762,7.178098894655704e-05,0.00010148399451281875
0.375,3,OMP,baseline,0.0010315229992556851,7.503100277972408e-05,0.00010502299483050592,0.00038736299393349327,9.543699707137421e-05,0.0
0.375,3,OMP,optimized,0.00063501200202154,8.73099961609114e-05,2.7133999537909403e-05,0.00023401100406772457,8.321099812746979e-05,0.00012974399214726873
0.375,4,OMP,baseline,0.0008596539992140606,5.322700599208474e-05,8.715501826372929e-05,0.00034974500886164606,7.670299601159059e-05,0.0
0.375,4,OMP,optimized,0.00045776200204272754,4.5948996557854116e-05,1.7352991562802345e-05,0.00017855000260169618,6.398999175871722e-05,9.38260018301662e-05
0.375,5,OMP,baseline,0.0008975480013759807,7.237700265250169e-05,9.572700946591794e-05,0.0003461380038061179,8.583800445194356e-05,0.0
0.375,5,OMP,optimized,0.0005136269974173047,5.4726006055716425e-05,2.329599010408856e-05,0.00019159000294166617,8.109100235742517e-05,9.966999277821742e-05
0.375,6,OMP,baseline,0.0008354569981747773,5.3770007070852444e-05,8.716699085198343e-05,0.0003335189903737046,7.34959976398386e-05,0.0
0.375,6,OMP,optimized,0.0005014609996578656,4.6484983613481745e-05,1.886598693090491e-05,0.00019015599536942318,6.781800038879737e-05,0.00011485699724289589
0.375,7,OMP,baseline,0.0009209529998770449,6.405601379810832e-05,9.496800703345798e-05,0.0003722100118466187,8.824400356388651e-05,0.0
0.375,7,OMP,optimized,0.0005460100001073442,5.6793996918713674e-05,2.012899858527817e-05,0.0002230139980383683,7.262799408636056e-05,0.00010613599806674756
0.375,8,OMP,baseline,0.0015935160008666571,0.0005209119990468025,0.00011995599925285205,0.00047542301399516873,0.00010740499055827968,0.0
0.375,8,OMP,optimized,0.0005593460009549744,5.107200195197947e-05,3.5242999729234725e-05,0.00021506699340534396,7.465700400643982e-05,0.00011376200927770697
0.375,9,OMP,baseline,0.0011054360002162866,6.985999789321795e-05,0.00012136799341533333,0.0004012180070276372,0.0001266999970539473,0.0
0.375,9,OMP,optimized,0.0004892029974143952,5.571000656345859e-05,1.802200495149009e-05,0.00018841900237021036,6.615100573981181e-05,9.892000889522023e-05
0.375,10,OMP,baseline,0.0014998869992268737,0.0001068090132321231,0.00013932100773672573,0.0006546750009874813,0.00015675099712098017,0.0
0.375,10,OMP,optimized,0.0005372810010157991,5.528399924514815e-05,2.376400152570568e-05,0.0002000230051635299,7.050601197988726e-05,0.000119116000860231
0.375,11,OMP,baseline,0.0011372430017217994,7.493699376937002e-05,0.00013547299022320658,0.0004336860074545257,0.00010743600068963133,0.0
