coeff_mode,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
gaussian,31,Improved-gOMP,baseline,0.002662758997757919,2.9246017220430076e-05,0.0018954209808725864,0.00018331201863475144,3.993402060586959e-05,0.0001540240045869723
gaussian,31,Improved-gOMP,optimized,0.0010539520008023828,2.2252992494031787e-05,0.0006005820032441989,0.00023759700707159936,4.3217980419285595e-05,3.141991328448057e-06
gaussian,32,Improved-gOMP,baseline,0.002878521991078742,3.206601832062006e-05,0.0019460979819996282,0.0002215429994976148,4.055502358824015e-05,0.0001918700145324692
gaussian,32,Improved-gOMP,optimized,0.001370691999909468,2.9817994800396264e-05,0.0007137849897844717,0.0002769109996734187,5.040700489189476e-05,0.0001262860168935731
gaussian,33,Improved-gOMP,baseline,0.00458999999682419,5.0386981456540525e-05,0.0033580829767743126,0.00027918501291424036,6.380400736816227e-05,0.0002512580103939399
gaussian,33,Improved-gOMP,optimized,0.0017362939979648218,3.235304029658437e-05,0.0009113789856201038,0.00032668403582647443,6.342798587866127e-05,0.00020827898697461933
gaussian,34,Improved-gOMP,baseline,0.0026428429991938174,3.0378010706044734e-05,0.0018085820047417656,0.00019264100410509855,4.7209992771968246e-05,0.00019380899902898818
gaussian,34,Improved-gOMP,optimized,0.0010948849958367646,3.1091010896489024e-05,0.0005887479928787798,0.0002463189885020256,5.296601739246398e-05,2.9460061341524124e-06
gaussian,35,Improved-gOMP,baseline,0.004299855005228892,6.186400423757732e-05,0.0030979040020611137,0.0002471899933880195,6.228400161489844e-05,0.0001939180219778791
gaussian,35,Improved-gOMP,optimized,0.0017162270087283105,2.8299007681198418e-05,0.0009227970003848895,0.00034322499413974583,5.543100996874273e-05,0.00016013898130040616
gaussian,36,Improved-gOMP,baseline,0.0037892020045546815,3.5927005228586495e-05,0.002436866008793004,0.00023223701282404363,4.676899698097259e-05,0.0005968850164208561
gaussian,36,Improved-gOMP,optimized,0.0022613689943682402,5.181001324672252e-05,0.0011295779986539856,0.00046486999781336635,8.3381004515104e-05,0.000188638994586654
gaussian,37,Improved-gOMP,baseline,0.003034594003111124,3.72549839084968e-05,0.0020360019989311695,0.00021895098325330764,4.91620012326166e-05,0.0002181500312872231
gaussian,37,Improved-gOMP,optimized,0.0011889770103152841,2.883200068026781e-05,0.0006756959919584915,0.00027170300018042326,4.514300962910056e-05,3.4019903978332877e-06
gaussian,38,Improved-gOMP,baseline,0.0039481879939557984,4.4074986362829804e-05,0.0026264469779562205,0.00021655599994119257,4.717298725154251e-05,0.00047834598808549345
gaussian,38,Improved-gOMP,optimized,0.0014731880073668435,2.987700281664729e-05,0.0007572709873784333,0.0002977319818455726,4.655700467992574e-05,0.00016194702766370028
gaussian,39,Improved-gOMP,baseline,0.0019484820077195764,2.3079002858139575e-05,0.0014883489930070937,0.0001271150104003027,3.5118020605295897e-05,3.753011696971953e-06
gaussian,39,Improved-gOMP,optimized,0.0016164830012712628,2.7229005354456604e-05,0.0009557730081724003,0.0003963880008086562,5.395500920712948e-05,3.296008799225092e-06
gaussian,40,Improved-gOMP,baseline,0.00265297299483791,3.460797597654164e-05,0.0019827819924103096,0.00017721000767778605,4.1338003939017653e-05,4.760004230774939e-06
gaussian,40,Improved-gOMP,optimized,0.0020592000073520467,5.142901500221342e-05,0.001157272985437885,0.0005021469696657732,9.983901691157371e-05,4.853005520999432e-06
gaussian,41,Improved-gOMP,baseline,0.002472754000336863,2.6808978873305023e-05,0.0018412280041957274,0.00018535697017796338,4.3918975279666483e-05,5.806010449305177e-06
gaussian,41,Improved-gOMP,optimized,0.0014158499980112538,3.636899054981768e-05,0.0008184449980035424,0.0003071999963140115,4.783101030625403e-05,3.7030258681625128e-06
gaussian,42,Improved-gOMP,baseline,0.005050299994763918,5.288299871608615e-05,0.0035924170078942552,0.0003326739970361814,7.728500349912792e-05,0.00035048699646722525
gaussian,42,Improved-gOMP,optimized,0.002307285991264507,4.412198904901743e-05,0.0012425899767549708,0.00047578499652445316,7.825797365512699e-05,0.00017784099327400327
gaussian,43,Improved-gOMP,baseline,0.003020807998836972,3.242999082431197e-05,0.0021262639784254134,0.00019909397815354168,5.5805008742026985e-05,0.0001929490244947374
gaussian,43,Improved-gOMP,optimized,0.001473648997489363,3.059199661947787e-05,0.000757714980863966,0.00027383299311622977,4.539401561487466e-05,0.00016408399096690118
gaussian,44,Improved-gOMP,baseline,0.003846032006549649,6.282699177972972e-05,0.002911539006163366,0.00030424199940171093,7.966900011524558e-05,6.454996764659882e-06
gaussian,44,Improved-gOMP,optimized,0.001642810006160289,3.611401189118624e-05,0.0009724390110932291,0.00033627798256929964,6.110001413617283e-05,4.351983079686761e-06
gaussian,45,Improved-gOMP,baseline,0.003967955999542028,4.8735993914306164e-05,0.0028735509840771556,0.00024341799144167453,5.6867997045628726e-05,0.0002208250225521624
gaussian,45,Improved-gOMP,optimized,0.0015110000094864517,2.8663998818956316e-05,0.0007487380062229931,0.0002905649889726192,3.9161008317023516e-05,0.0002199279988417402
gaussian,46,Improved-gOMP,baseline,0.003789030000916682,3.539901808835566e-05,0.0024988449731608853,0.0002199949958594516,5.646698991768062e-05,0.0004834119899896905
gaussian,46,Improved-gOMP,optimized,0.0019189559970982373,2.783199306577444e-05,0.0007469450356438756,0.0003113209968432784,4.527201235760003e-05,0.0005808079877169803
gaussian,47,Improved-gOMP,baseline,0.003956023007049225,3.404900780878961e-05,0.0027069859934272245,0.00021618601749651134,5.5894997785799205e-05,0.00048172300739679486
gaussian,47,Improved-gOMP,optimized,0.0026664079923648387,5.0421018386259675e-05,0.001421298977220431,0.0005741389759350568,0.00010120699880644679,0.00020184800087008625
gaussian,48,Improved-gOMP,baseline,0.0023371889983536676,3.487498906906694e-05,0.0018015889945672825,0.00015751099272165447,3.189597919117659e-05,4.361005267128348e-06
gaussian,48,Improved-gOMP,optimized,0.0012531829997897148,3.094002022407949e-05,0.000700746983056888,0.0003113749990006909,4.448098479770124e-05,2.9939983505755663e-06
gaussian,49,Improved-gOMP,baseline,0.002787256002193317,4.081697261426598e-05,0.0019543969829101115,0.0001936089975060895,4.279098357073963e-05,0.00015517399879172444
gaussian,49,Improved-gOMP,optimized,0.0016929459961829707,5.396401684265584e-05,0.0008646319911349565,0.0002997510164277628,7.764599286019802e-05,0.00017993700748775154
gaussian,50,Improved-gOMP,baseline,0.0036464830045588315,4.3418011046014726e-05,0.0028004700143355876,0.0002594150137156248,6.680098886135966e-05,7.174006896093488e-06
gaussian,50,Improved-gOMP,optimized,0.0016884720098460093,3.49509937223047e-05,0.0010049609845736995,0.0003695579944178462,6.0659993323497474e-05,5.189009243622422e-06
gaussian,51,Improved-gOMP,baseline,0.006122456994489767,5.7743018260225654e-05,0.004067501999088563,0.00037336599780246615,8.810499275568873e-05,0.0008678840094944462
gaussian,51,Improved-gOMP,optimized,0.0025999139907071367,5.727099778596312e-05,0.0013296770048327744,0.0004901579959550872,8.941697888076305e-05,0.0002750579878920689
gaussian,52,Improved-gOMP,baseline,0.005226844994467683,5.524800508283079e-05,0.0038105630228528753,0.0003126419906038791,8.154701208695769e-05,0.0003032700187759474
gaussian,52,Improved-gOMP,optimized,0.0017044929991243407,3.0171984690241516e-05,0.000883166998391971,0.00034453399712219834,5.630601663142443e-05,0.00016277698159683496
gaussian,53,Improved-gOMP,baseline,0.003402258997084573,3.3174961572512984e-05,0.0022288410254986957,0.00021215601009316742,5.0147020374424756e-05,0.0004665199958253652
gaussian,53,Improved-gOMP,optimized,0.0017289599927607924,3.3338990760967135e-05,0.0009432930237380788,0.00030795000202488154,5.778703780379146e-05,0.00016856299771461636
gaussian,54,Improved-gOMP,baseline,0.005106848999275826,6.433101953007281e-05,0.0036610230163205415,0.00034415701520629227,8.518500544596463e-05,0.0003021600132342428
gaussian,54,Improved-gOMP,optimized,0.0019522000075085089,5.0094007747247815e-05,0.0011285709915682673,0.00044327398063614964,6.575601582881063e-05,7.63402204029262e-06
gaussian,55,Improved-gOMP,baseline,0.005571368004893884,6.829500489402562e-05,0.003913427979568951,0.0003756359947146848,8.948198228608817e-05,0.0003604430239647627
gaussian,55,Improved-gOMP,optimized,0.002421286000753753,4.78939909953624e-05,0.0012500739831011742,0.00047135300701484084,7.52280029701069e-05,0.000299331994028762
gaussian,56,Improved-gOMP,baseline,0.004469571998924948,4.740899021271616e-05,0.0030317440105136484,0.0002916029916377738,5.9040001360699534e-05,0.000478310976177454
gaussian,56,Improved-gOMP,optimized,0.0019193829939467832,3.5223987651988864e-05,0.0007495710160583258,0.00036690299748443067,5.786799010820687e-05,0.0005136089894222096
gaussian,57,Improved-gOMP,baseline,0.0035213670053053647,4.840698966290802e-05,0.0023961450351634994,0.000224693983909674,5.243498890195042e-05,0.00028303699218668044
gaussian,57,Improved-gOMP,optimized,0.0015835290105314925,3.733801713678986e-05,0.0008132749935612082,0.0002943030121969059,4.778603033628315e-05,0.0001657849788898602
gaussian,58,Improved-gOMP,baseline,0.0020461770036490634,2.408503496553749e-05,0.0015571190015180036,0.00013762799790129066,2.9889008146710694e-05,3.913999535143375e-06
gaussian,58,Improved-gOMP,optimized,0.0009610029956093058,2.521699934732169e-05,0.0005543260049307719,0.00020361899805720896,4.588598676491529e-05,2.98701343126595e-06
gaussian,59,Improved-gOMP,baseline,0.0030375099886441603,4.1332023101858795e-05,0.002044878012384288,0.0001875589950941503,4.122400423511863e-05,0.00024210300762206316
gaussian,59,Improved-gOMP,optimized,0.0017351080023217946,4.528302815742791e-05,0.000853499979712069,0.00036052599898539484,5.892800982110202e-05,0.00018418098625261337
gaussian,60,Improved-gOMP,baseline,0.003691310004796833,3.106404619757086e-05,0.0024485959875164554,0.00024142400070559233,6.016799306962639e-05,0.0004704489838331938
gaussian,60,Improved-gOMP,optimized,0.0019134329922962934,3.5644014133140445e-05,0.0007098430214682594,0.00031511600536759943,5.8062010793946683e-05,0.0005912919878028333
gaussian,61,Improved-gOMP,baseline,0.0033913009974639863,4.297202394809574e-05,0.0023934700002428144,0.00019658498058561236,4.216100205667317e-05,0.00020918299560435116
