k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,29,OMP,optimized,0.00015193098806776106,1.7126993043348193e-05,7.1260001277551055e-06,5.602899182122201e-05,1.7564001609571278e-05,2.613599644973874e-05
4,30,OMP,baseline,0.00035881200165022165,2.531499194446951e-05,5.075600347481668e-05,0.00010998899233527482,6.580000626854599e-05,0.0
4,30,OMP,optimized,0.00035050499718636274,4.2911022319458425e-05,1.71009887708351e-05,0.00010101801308337599,8.111700299195945e-05,5.4768999689258635e-05
4,31,OMP,baseline,0.00021504699543584138,1.9314000383019447e-05,3.0889015761204064e-05,6.94530172040686e-05,2.7250018320046365e-05,0.0
4,31,OMP,optimized,0.00016336400585714728,1.800298923626542e-05,8.233007974922657e-06,5.910097388550639e-05,1.909700222313404e-05,2.9329006792977452e-05
4,32,OMP,baseline,0.00032333900162484497,2.1056010155007243e-05,4.3765001464635134e-05,9.905498882289976e-05,6.60740042803809e-05,0.0
4,32,OMP,optimized,0.0002289139956701547,1.965400588233024e-05,1.0892996215261519e-05,7.482098590116948e-05,4.946500121150166e-05,3.668799763545394e-05
4,33,OMP,baseline,0.0002774599997792393,2.7918009436689317e-05,3.9377991924993694e-05,9.214699093718082e-05,3.245398693252355e-05,0.0
4,33,OMP,optimized,0.0001689689961494878,1.880500349216163e-05,8.069007890298963e-06,6.0079997638240457e-05,1.9106024410575628e-05,2.9977018130011857e-05
4,34,OMP,baseline,0.0002014070050790906,1.7252998077310622e-05,2.991898509208113e-05,6.496800051536411e-05,2.3347005480900407e-05,0.0
4,34,OMP,optimized,0.00015799999528098851,1.4942008419893682e-05,7.982991519384086e-06,5.808699643239379e-05,1.8540988094173372e-05,2.754801244009286e-05
4,35,OMP,baseline,0.00020935099746566266,1.8435006495565176e-05,2.96589860226959e-05,6.834698433522135e-05,2.423899422865361e-05,0.0
4,35,OMP,optimized,0.00015893200179561973,1.9978004274889827e-05,7.3260016506537795e-06,5.7361015933565795e-05,1.7525002476759255e-05,2.885998401325196e-05
4,36,OMP,baseline,0.0002711520064622164,2.3298998712562025e-05,3.703300899360329e-05,8.425900887232274e-05,2.7596004656516016e-05,0.0
4,36,OMP,optimized,0.00020103399583604187,1.8103019101545215e-05,1.0884003131650388e-05,7.201000698842108e-05,2.1930987713858485e-05,4.257600812707096e-05
4,37,OMP,baseline,0.00037254700146149844,4.259501292835921e-05,5.693398998118937e-05,0.00012150198745075613,4.321002052165568e-05,0.0
4,37,OMP,optimized,0.0001884059893200174,1.88510020961985e-05,9.754978236742318e-06,6.977401790209115e-05,2.1019994164817035e-05,3.322598058730364e-05
4,38,OMP,baseline,0.00041528299334459007,0.00010287700570188463,4.3082996853627264e-05,9.019099525175989e-05,3.2921991078183055e-05,0.0
4,38,OMP,optimized,0.0001658469991525635,1.5037978300824761e-05,9.100011084228754e-06,6.115598080214113e-05,1.8377002561464906e-05,3.1370000215247273e-05
4,39,OMP,baseline,0.00021415299852378666,1.730800431687385e-05,4.1355015127919614e-05,6.702498649246991e-05,2.4565000785514712e-05,0.0
4,39,OMP,optimized,0.0001625869917916134,1.636000524740666e-05,1.3248005416244268e-05,5.582600715570152e-05,1.7692000255919993e-05,3.0600989703089e-05
4,40,OMP,baseline,0.00025986600667238235,2.180799492634833e-05,4.437599272932857e-05,8.790600986685604e-05,2.725300146266818e-05,0.0
4,40,OMP,optimized,0.0001841870107455179,1.8275983165949583e-05,8.79602157510817e-06,7.094800821505487e-05,1.964900002349168e-05,3.068899968639016e-05
