k,trial,algorithm,implementation,runtime_sec,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
4,60,gOMP,baseline,0.00015254400204867125,1.029099803417921e-05,2.9713017283938825e-05,5.313799192663282e-05,1.513698953203857e-05,0.0
4,60,gOMP,optimized,9.63950005825609e-05,9.488998330198228e-06,2.0096005755476654e-05,3.0212991987355053e-05,9.894007234834135e-06,0.0
4,61,gOMP,baseline,0.00013685600424651057,1.0891992133110762e-05,2.82769906334579e-05,4.381600592751056e-05,1.2851989595219493e-05,0.0
4,61,gOMP,optimized,9.598801261745393e-05,8.642993634566665e-06,1.985099515877664e-05,2.8620008379220963e-05,8.413000614382327e-06,0.0
4,62,gOMP,baseline,0.00011078300303779542,8.135000825859606e-06,2.1711006411351264e-05,3.392499638721347e-05,1.1334006558172405e-05,0.0
4,62,gOMP,optimized,8.413000614382327e-05,7.953000022098422e-06,1.8283986719325185e-05,2.511400089133531e-05,8.261995390057564e-06,0.0
4,63,gOMP,baseline,0.00011279700265731663,8.634990081191063e-06,2.14340107049793e-05,3.269100852776319e-05,1.0821007890626788e-05,0.0
4,63,gOMP,optimized,7.950600411277264e-05,8.066999725997448e-06,1.715401594992727e-05,2.4109991500154138e-05,7.78399407863617e-06,0.0
4,64,gOMP,baseline,0.00014462400577031076,8.409973816014826e-06,3.329299215693027e-05,4.70020022476092e-05,1.1997995898127556e-05,0.0
4,64,gOMP,optimized,8.59260035213083e-05,6.885995389893651e-06,1.885599340312183e-05,2.756201138254255e-05,8.05700256023556e-06,0.0
4,65,gOMP,baseline,0.00013599800877273083,9.66398511081934e-06,2.6703011826612055e-05,4.167002043686807e-05,1.4401011867448688e-05,0.0
4,65,gOMP,optimized,0.00012473300739657134,1.0749994544312358e-05,2.1069005015306175e-05,3.078901499975473e-05,1.0361996828578413e-05,0.0
4,66,gOMP,baseline,0.00011217100836802274,7.224007276818156e-06,2.5271991034969687e-05,3.392099461052567e-05,1.0218005627393723e-05,0.0
