trial,snr_db,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec
3,5.0,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.5330992732937134,0.7301364758000476,0.4375,0.4375,0,0.0002443930025037844,6,16.0,1.0900913760500488,target_sparsity_reached,9,9,8.458500451524742e-05,3.0,True,,0,0,2.0971609595713105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,2.4962999304989353e-05,5.1325998356333e-05,8.458500451524742e-05,2.7619993488769978e-05,0.0
3,5.0,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.26499691529478386,0.514778510910065,0.4375,0.7777777777777778,0,0.0008355610007129144,3,9.0,1.3302032652203832,noise_floor,2,9,5.514800068340264e-05,20.0,False,,0,0,1.4590688265019731,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3088.0,768.0,2048.0,0.0,0.0,0.0,144.0,32.0,24.0,24.0,24.0,24.0,0.0,1.3772998499916866e-05,0.0006228759993973654,5.883999983780086e-05,1.6895002772798762e-05,1.6569974832236767e-06
3,5.0,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.3506150395822792,0.5921275534733029,0.375,0.6666666666666666,0,0.0004754209985549096,3,9.0,1.3765885362134458,noise_floor,3,10,5.4299998737405986e-05,0.0,True,,0,0,1.5841404125979708,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3672.0,768.0,2048.0,0.0,648.0,72.0,72.0,32.0,24.0,0.0,0.0,8.0,0.0,1.3376004062592983e-05,0.00026008700297097676,0.00011278699821559712,1.79049966391176e-05,1.395997969666496e-06
3,5.0,RMP,baseline,RMP (baseline),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.4527289203435795,0.6728513359900383,0.4375,0.4375,0,0.0009003160012071021,16,16.0,1.041457873971096,target_sparsity_reached,9,9,0.0003569189975678455,1.0,False,,0,0,1.9556867501645379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0,5.0435002776794136e-05,3.0535997211700305e-05,0.00035204700543545187,0.00013732999286730774,0.0
3,5.0,RMP,optimized,RMP (optimized),96,256,0.375,gaussian,gaussian,0.13004540381565785,0.452728920337379,0.6728513359854308,0.4375,0.4375,0,0.0006346810005197767,16,16.0,1.0414578740269216,target_sparsity_reached,9,9,0.00016372200479963794,1.0,True,,0,0,1.9556867501645379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,5.7803987147053704e-05,3.447599374339916e-05,0.00016372200479963794,0.00016600600065430626,0.00012197400064906105
4,5.0,OMP,baseline,OMP (baseline),96,256,0.375,gaussian,gaussian,0.21570576808100092,0.3657326035064352,0.6047583017259335,0.375,0.375,0,0.0011455499989097007,16,16.0,1.4921001419305842,target_sparsity_reached,10,10,0.0004191569969407283,1.0,False,,0,0,2.0828150360339266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0,0.00015720199735369533,0.00011815499965450726,0.0004191569969407283,0.00010396099605713971,0.0
4,5.0,OMP,optimized,OMP (optimized),96,256,0.375,gaussian,gaussian,0.21570576808100092,0.36573260340864017,0.6047583016450788,0.375,0.375,0,0.00046943699999246746,16,16.0,1.4921001419305842,target_sparsity_reached,10,10,0.00018573400302557275,1.0,True,,0,0,2.0828150360339266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0,4.5706998207606375e-05,1.8116999854100868e-05,0.00018573400302557275,6.249000944080763e-05,9.750999015523121e-05
4,5.0,gOMP,baseline,gOMP (baseline),96,256,0.375,gaussian,gaussian,0.21570576808100092,0.2965077913329217,0.544525289892877,0.375,0.375,0,0.0004749610016006045,6,16.0,1.5286363249185961,target_sparsity_reached,10,10,0.00018280499716638587,3.0,False,,0,0,2.0963590242335632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0,2.3246997443493456e-05,6.221300645847805e-05,0.00018280499716638587,3.598599505494349e-05,0.0
4,5.0,gOMP,optimized,gOMP (optimized),96,256,0.375,gaussian,gaussian,0.21570576808100092,0.2965077912768987,0.5445252898414349,0.375,0.375,0,0.00021679700148524716,6,16.0,1.528636324918596,target_sparsity_reached,10,10,7.770900629111566e-05,3.0,True,,0,0,2.0963590242335632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0,1.9807994249276817e-05,4.413599890540354e-05,7.770900629111566e-05,2.7328998839948326e-05,0.0
4,5.0,Improved-gOMP,baseline,Improved-gOMP (baseline),96,256,0.375,gaussian,gaussian,0.21570576808100092,0.2383108162977042,0.4881708884168578,0.3125,0.5555555555555556,0,0.0008325950002472382,3,9.0,2.166784492107241,noise_floor,4,11,5.282900019665249e-05,20.666666666666668,False,,0,0,1.6491843742824144,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3088.0,768.0,2048.0,0.0,0.0,0.0,144.0,32.0,24.0,24.0,24.0,24.0,0.0,1.1945998267037794e-05,0.000627840003289748,5.604599937214516e-05,1.5500998415518552e-05,1.7330021364614367e-06
