trial,screening_ratio,algorithm,implementation,label,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,group_size
20,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.0310539164200342,0.0040743056763692135,0.06383028807994849,0.9375,0.9375,0,0.0016095500031951815,6,16.0,0.25362604808668926,target_sparsity_reached,1,1,0.00015909699141047895,12.5,True,,0,0,1.8837409897647115,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.4231983590871096e-05,0.0007517530029872432,0.0002858749940060079,5.3482974180951715e-05,0.00013260300329420716,
21,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.0345306366081786,0.003493198844897642,0.05910328962839245,0.8125,1.0,0,0.001231699003255926,5,13.0,0.32114292347420503,noise_floor,0,3,0.00011259800521656871,13.0,True,,0,0,1.824496959046649,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,2.540899731684476e-05,0.0006776490045012906,0.0002193669934058562,3.72200011042878e-05,3.388006007298827e-06,
22,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04548281130139572,0.0029206424436706603,0.054042968494251505,0.875,0.9333333333333333,0,0.0014402070082724094,5,15.0,0.41767425576054223,noise_floor,1,2,0.00017045602726284415,14.0,True,,0,0,2.0177157815160505,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5304.0,768.0,2048.0,0.0,1800.0,120.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0,2.8036985895596445e-05,0.0006360760016832501,0.0002817499917000532,4.275902756489813e-05,0.00013390800449997187,
23,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.033925754549813114,0.0051360298542070335,0.07166609975579133,0.8125,1.0,0,0.0011995199893135577,5,13.0,0.3353089357753379,noise_floor,0,3,0.0001115140039473772,13.0,True,,0,0,1.8516130740796717,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,2.540697460062802e-05,0.0006465719925472513,0.00022091799473855644,3.628399281296879e-05,3.031003871001303e-06,
24,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.0428071583694393,0.0015270152098151985,0.03907704197882944,0.9375,1.0,0,0.0022461019980255514,6,15.0,0.3687257319121699,noise_floor,0,1,0.0001843860518420115,11.666666666666666,True,,0,0,1.9088664316533022,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5416.0,768.0,2048.0,0.0,1800.0,120.0,432.0,56.0,48.0,48.0,48.0,48.0,0.0,7.3481016443111e-05,0.0009233289893018082,0.0003220269863959402,6.490900705102831e-05,0.00015655600873287767,
25,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.05738134024832659,0.008222708006578507,0.0906791486868867,0.6875,1.0,0,0.0009922959870891646,4,11.0,0.6022764848556725,noise_floor,0,5,0.00010841799667105079,13.75,True,,0,0,1.8459659827004837,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4272.0,768.0,2048.0,0.0,968.0,88.0,232.0,40.0,32.0,32.0,32.0,32.0,0.0,2.363798557780683e-05,0.0004979770019417629,0.00020298398158047348,4.7823996283113956e-05,2.6049820007756352e-06,
26,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04497370195556759,0.0029293451222025587,0.05412342489350206,0.9375,1.0,0,0.0015481750015169382,5,15.0,0.4094890993885511,noise_floor,0,1,0.0001392270060023293,14.0,True,,0,0,2.1856609467424852,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5304.0,768.0,2048.0,0.0,1800.0,120.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0,3.559801552910358e-05,0.0007088800193741918,0.00026660099683795124,4.324002657085657e-05,0.00012562100891955197,
27,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04342935243196175,0.010391992856323152,0.10194112446075505,0.875,0.875,0,0.0019108239939669147,6,16.0,0.488694349579131,target_sparsity_reached,2,2,0.0001888359838631004,12.5,True,,0,0,2.2534592045133084,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.409500641282648e-05,0.0008432769973296672,0.000295316000119783,5.249101377557963e-05,0.0002500550326658413,
28,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.050185699776352725,0.003752980755998313,0.06126157650598222,0.875,0.875,0,0.0016978730127448216,6,16.0,0.4054666874725482,target_sparsity_reached,2,2,0.0002641750033944845,12.5,True,,0,0,2.1033195459476475,1.0,1.0,0.0,0.0,1.0,0.0,1.0,5704.0,768.0,2048.0,0.0,2048.0,128.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0,3.5371005651541054e-05,0.0007217030070023611,0.0003666929842438549,5.627401696983725e-05,0.00014424500113818794,
29,1.5,Improved-gOMP,optimized,Improved-gOMP (optimized),96,256,0.375,gaussian,gaussian,20.0,0.04912730911316363,0.013355724399208707,0.11556696932605227,0.6875,0.8461538461538461,0,0.001294604007853195,5,13.0,0.511918897491409,noise_floor,2,5,0.00012125298962928355,13.0,True,,0,0,2.116842414349664,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4816.0,768.0,2048.0,0.0,1352.0,104.0,336.0,48.0,40.0,40.0,40.0,40.0,0.0,3.0235009035095572e-05,0.0006122280174167827,0.0003325600118841976,4.9027003115043044e-05,2.961969585157931e-06,
