trial,coeff_mode,algorithm,m,n,measurement_ratio,matrix_kind,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
8,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03756745201999591,0.0010455638518839922,0.032335179787407894,1.0,1.0,1,0.0007829999958630651,6,16.0,0.31615025314038603,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,2.030049766232727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03756745201999591,0.001045563848231216,0.032335179730924896,1.0,1.0,1,0.00188460000208579,6,16.0,0.316150253140386,target_sparsity_reached,0,0,0.00017150002531707287,17.166666666666668,True,cholesky_solve,1,0,2.030049766232727,1.0,1.0,0.0,0.0,1.0,0.0,1.0
9,gaussian,OMP,96,256,0.375,gaussian,20.0,0.034610457785134295,0.005022749665727367,0.07087135998220556,0.8125,0.8125,0,0.0011140999849885702,16,16.0,0.2562437335601386,target_sparsity_reached,3,3,0.0,1.0,False,,0,0,2.262233582878763,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.034610457785134295,0.001880940264829316,0.043369808217575925,0.875,0.875,0,0.0006362000131048262,6,16.0,0.26753873242809517,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.4976805440336616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.034610457785134295,0.005450192017529459,0.07382541579652267,0.75,1.0,0,0.0012624000082723796,5,12.0,0.3318289804744588,noise_floor,0,4,0.00011100003030151129,17.4,True,,0,0,2.057949168147835,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03933138325839499,0.002059976058014692,0.045386959118393154,1.0,1.0,1,0.0010211000044364482,16,16.0,0.30535735083218946,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.949650103264013,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03933138325839499,0.005672772189099643,0.0753178079148593,0.875,0.875,0,0.00040520000038668513,6,16.0,0.37863669385941406,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.1236642838061637,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03933138325839499,0.0047674827864708095,0.0690469607330461,0.9375,0.9375,0,0.0014990000054240227,6,16.0,0.3276684913754153,target_sparsity_reached,1,1,0.0001373999984934926,17.666666666666668,True,cholesky_solve,1,0,2.0353001077637263,1.0,1.0,0.0,0.0,1.0,0.0,1.0
11,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03223228501615108,0.003878602931474413,0.062278430708186706,0.9375,0.9375,0,0.000991899985820055,16,16.0,0.27916686371014116,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.2943797524713356,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03223228501615108,0.004648262638825083,0.06817816834460341,0.875,0.875,0,0.00040679998346604407,6,16.0,0.2851219533834687,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.288151933653536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03223228501615108,0.004025607557812596,0.06344767574791528,0.875,0.9333333333333333,0,0.001434800011338666,6,15.0,0.29315059319310766,noise_floor,1,2,0.00013310002395883203,16.666666666666668,True,cholesky_solve,1,0,2.22956031943333,1.0,1.0,0.0,0.0,1.0,0.0,1.0
12,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03903771313889337,0.003842544086903722,0.06198825765339531,0.875,0.875,0,0.0009017999982461333,16,16.0,0.32173405703037755,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.027442111851778,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03903771313889337,0.003450781779609456,0.058743355195370446,0.875,0.875,0,0.00037990001146681607,6,16.0,0.32561024912990444,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.1170756521329794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03903771313889337,0.004570055070522545,0.0676021824390496,0.8125,1.0,0,0.0010767000203486532,5,13.0,0.4010709293676238,noise_floor,0,3,9.55999712459743e-05,18.2,True,,0,0,1.9113766369202645,0.0,0.0,0.0,0.0,1.0,0.0,1.0
13,gaussian,OMP,96,256,0.375,gaussian,20.0,0.03813236006531459,0.002516047213525783,0.050160215445368486,1.0,1.0,1,0.0016890999977476895,16,16.0,0.3195415470403208,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.982760197875207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.03813236006531459,0.03267386703030244,0.18075914093152368,0.8125,0.8125,0,0.00043500002357177436,6,16.0,0.4885888801779402,target_sparsity_reached,3,3,0.0,3.0,False,,0,0,2.6068495971722947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.03813236006531459,0.01935725759799553,0.13913036188408168,0.875,0.875,0,0.0016792000096756965,6,16.0,0.4523115218594215,target_sparsity_reached,2,2,0.00015700000221841037,17.666666666666668,True,cholesky_solve,1,0,2.5716111790549525,1.0,1.0,0.0,0.0,1.0,0.0,1.0
14,gaussian,OMP,96,256,0.375,gaussian,20.0,0.05299502374979125,0.004752579726350791,0.06893895652206226,0.875,0.875,0,0.0009386000165250152,16,16.0,0.4502200724639284,target_sparsity_reached,2,2,0.0,1.0,False,,0,0,2.054299621941288,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.05299502374979125,0.006011667987422431,0.0775349468783105,0.875,0.875,0,0.00038809998659417033,6,16.0,0.4741746251672862,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.2459252611523755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.05299502374979125,0.004454790308590072,0.06674421554404601,0.875,0.9333333333333333,0,0.0014641000016126782,6,15.0,0.47011287359698284,noise_floor,1,2,0.0001391999830957502,16.666666666666668,True,cholesky_solve,1,0,1.899340645884713,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15,gaussian,OMP,96,256,0.375,gaussian,20.0,0.031737421655627165,0.003461242330238431,0.05883232385549997,0.9375,0.9375,0,0.0009539999882690609,16,16.0,0.29790641629717274,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.0696529960590953,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.031737421655627165,0.006487094435407364,0.08054250080179634,0.875,0.875,0,0.00042550000944174826,6,16.0,0.34405401985323025,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,2.2468624268525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.031737421655627165,0.002592203977301135,0.05091369145231109,0.9375,0.9375,0,0.0014512999914586544,6,16.0,0.3110108096771948,target_sparsity_reached,1,1,0.00013270005001686513,17.833333333333332,True,cholesky_solve,1,0,2.1877562022710944,1.0,1.0,0.0,0.0,1.0,0.0,1.0
16,gaussian,OMP,96,256,0.375,gaussian,20.0,0.029760219940823496,0.0035524151650585074,0.059602140608022686,0.9375,0.9375,0,0.0009332999761682004,16,16.0,0.2660559821341511,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.9484578722507662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gaussian,gOMP,96,256,0.375,gaussian,20.0,0.029760219940823496,0.0075954454241077595,0.08715185267168885,0.875,0.875,0,0.0004199999966658652,6,16.0,0.28026262018472514,target_sparsity_reached,2,2,0.0,3.0,False,,0,0,1.8747909776486082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,gaussian,Improved-gOMP,96,256,0.375,gaussian,20.0,0.029760219940823496,0.0035524151667174547,0.05960214062193953,0.9375,0.9375,0,0.0015447000041604042,6,16.0,0.26605598213415116,target_sparsity_reached,1,1,0.00014029996236786246,17.833333333333332,True,cholesky_solve,1,0,1.9484578722507668,1.0,1.0,0.0,0.0,1.0,0.0,1.0
17,gaussian,OMP,96,256,0.375,gaussian,20.0,0.05536626128597515,0.0036990508010236963,0.06081982243498986,0.9375,0.9375,0,0.000974599999608472,16,16.0,0.5045368630295947,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,2.214549016656275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
