measurement_ratio,trial,algorithm,implementation,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.1875,31,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,31,Improved-gOMP,optimized,4088.0,384.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,32,Improved-gOMP,baseline,3280.0,384.0,2048.0,0.0,0.0,0.0,560.0,64.0,56.0,56.0,56.0,56.0,0.0
0.1875,32,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,33,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,33,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,34,Improved-gOMP,baseline,3000.0,384.0,2048.0,0.0,0.0,0.0,360.0,48.0,40.0,40.0,40.0,40.0,0.0
0.1875,34,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,35,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,35,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,36,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,36,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,37,Improved-gOMP,baseline,3280.0,384.0,2048.0,0.0,0.0,0.0,560.0,64.0,56.0,56.0,56.0,56.0,0.0
0.1875,37,Improved-gOMP,optimized,4864.0,384.0,2048.0,0.0,2048.0,128.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0
0.1875,38,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,38,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,39,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,39,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,40,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,40,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,41,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,41,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,42,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,42,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,43,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,43,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,44,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,44,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,45,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,45,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,46,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,46,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,47,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,47,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,48,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,48,Improved-gOMP,optimized,4088.0,384.0,2048.0,0.0,1352.0,104.0,104.0,48.0,40.0,0.0,0.0,8.0,0.0
0.1875,49,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,49,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,50,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,50,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,51,Improved-gOMP,baseline,3168.0,384.0,2048.0,0.0,0.0,0.0,488.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,51,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,52,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,52,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,53,Improved-gOMP,baseline,3280.0,384.0,2048.0,0.0,0.0,0.0,560.0,64.0,56.0,56.0,56.0,56.0,0.0
0.1875,53,Improved-gOMP,optimized,4864.0,384.0,2048.0,0.0,2048.0,128.0,128.0,64.0,56.0,0.0,0.0,8.0,0.0
0.1875,54,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,54,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,55,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,55,Improved-gOMP,optimized,4848.0,384.0,2048.0,0.0,2048.0,128.0,128.0,56.0,48.0,0.0,0.0,8.0,0.0
0.1875,56,Improved-gOMP,baseline,3144.0,384.0,2048.0,0.0,0.0,0.0,464.0,56.0,48.0,48.0,48.0,48.0,0.0
0.1875,56,Improved-gOMP,optimized,4568.0,384.0,2048.0,0.0,1800.0,120.0,120.0,48.0,40.0,0.0,0.0,8.0,0.0
