trial,k,algorithm,m,n,measurement_ratio,matrix_kind,coeff_mode,snr_db,noise_sigma,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,stop_reason,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,used_incremental_solver,fallback_reason,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver
9,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.016514154699597248,0.0003495069866633933,0.018695105954858703,1.0,1.0,1,0.0005536000244319439,2,4.0,0.18800956529285487,target_sparsity_reached,0,0,3.9399979868903756e-05,15.0,True,,0,0,1.3893858855315173,0.0,0.0,0.0,0.0,1.0,0.0,1.0
10,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.019362950190674712,0.00122707466550416,0.035029625540450186,0.75,0.75,0,0.00017139999545179307,4,4.0,0.17518535894349727,target_sparsity_reached,1,1,0.0,1.0,False,,0,0,1.3960022870137168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.019362950190674712,0.0002989255140353826,0.017289462514357774,0.75,0.75,0,8.540000999346375e-05,2,4.0,0.18700618772640046,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.5136663349639636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.019362950190674712,0.0011391435376475847,0.03375120053638959,0.75,0.75,0,0.000475099979666993,2,4.0,0.17758849843812768,target_sparsity_reached,1,1,3.5999983083456755e-05,15.0,True,,0,0,1.4369710253320143,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.01425118292862243,0.0003692461539405463,0.01921577877528117,1.0,1.0,1,0.0001804000057745725,4,4.0,0.14203918282537414,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.4689271335130394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01425118292862243,0.0003692461539405463,0.01921577877528117,1.0,1.0,1,9.560000034980476e-05,2,4.0,0.14203918282537414,target_sparsity_reached,0,0,0.0,3.0,False,,0,0,1.4689271335130394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.01425118292862243,0.000993029136763614,0.03151236482340883,0.75,1.0,0,0.0001440000196453184,1,3.0,0.15052143403147006,noise_floor,0,1,2.0700012100860476e-05,21.0,True,,0,0,1.3096939940472545,0.0,0.0,0.0,0.0,1.0,0.0,1.0
12,4,OMP,96,256,0.375,gaussian,gaussian,20.0,0.017540829304500894,0.0004122914000612347,0.02030495998669376,1.0,1.0,1,0.00019120000069960952,4,4.0,0.1597599173886767,target_sparsity_reached,0,0,0.0,1.0,False,,0,0,1.302645720986211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,gOMP,96,256,0.375,gaussian,gaussian,20.0,0.017540829304500894,0.004279835559358731,0.06542045214884051,0.75,0.75,0,9.479999425821006e-05,2,4.0,0.19686683333184715,target_sparsity_reached,1,1,0.0,3.0,False,,0,0,1.4200565374462237,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,Improved-gOMP,96,256,0.375,gaussian,gaussian,20.0,0.017540829304500894,0.0004122914000612347,0.02030495998669376,1.0,1.0,1,0.00047549998271279037,2,4.0,0.1597599173886767,target_sparsity_reached,0,0,4.0000013541430235e-05,15.5,True,,0,0,1.3153463522263098,0.0,0.0,0.0,0.0,1.0,0.0,1.0
