measurement_ratio,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
0.25,OMP,baseline,0.04523419474006427,0.14600370045063996,0.815,0.815,0.03,0.001197597803111421,16.0,16.0,0.33355006209166344,2.96,2.96,0.00046805864166041527,1.0,0.0,0.0,2.489628786717597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.282175259509434e-05,0.00013720856198536543,0.00046805864166041527,0.00011184899970733871,0.0,3912.0,512.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
0.25,OMP,optimized,0.045234194732803934,0.1460037004360127,0.815,0.815,0.03,0.0006693584903162749,16.0,16.0,0.33355006209166344,2.96,2.96,0.000267595369805349,1.0,0.0,0.0,2.489628786717597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0432260264254484e-05,3.0215003547103456e-05,0.000267595369805349,8.936543085534746e-05,0.000137233168061357,3216.0,512.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.25,RMP,baseline,0.08870516955597346,0.2773668850521828,0.7060416666666667,0.7060416666666667,0.0,0.001166150603433683,16.0,16.0,0.757528753596794,4.703333333333333,4.703333333333333,0.0004598651561536826,1.0,0.0,0.0,2.6678325050210536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.311052528365205e-05,4.483948941924609e-05,0.0004524026785414511,0.000177148028111939,0.0,4048.0,512.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
0.25,RMP,optimized,0.08870516960679323,0.27736688515486835,0.7060416666666667,0.7060416666666667,0.0,0.0006135704974197627,16.0,16.0,0.757528753833938,4.703333333333333,4.703333333333333,0.00014508862509198176,1.0,0.0,0.0,2.6678325050210536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.844769471674226e-05,3.665118444284114e-05,0.00014508862509198176,0.00015656434639822693,0.0001328855756825457,3216.0,512.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
0.25,gOMP,baseline,0.0682532132368497,0.20464795431067692,0.7270833333333333,0.7270833333333333,0.0,0.0005795839399797842,6.0,16.0,0.4653219196534575,4.366666666666666,4.366666666666666,0.00022084760004266476,3.0,0.0,0.0,2.74211038490049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8548993868753313e-05,9.049817531680067e-05,0.00022084760004266476,4.527967355291669e-05,0.0,3408.0,512.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
0.25,gOMP,optimized,0.06825321323930636,0.20464795432264168,0.7270833333333333,0.7270833333333333,0.0,0.00028538631318951956,6.0,16.0,0.4653219196534575,4.366666666666666,4.366666666666666,0.00010087019957912464,3.0,0.0,0.0,2.74211038490049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4226341823426387e-05,6.656641363709544e-05,0.00010087019957912464,3.380554010315488e-05,0.0,960.0,512.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
0.3125,Improved-gOMP,baseline,0.018042231382510522,0.11423350666011922,0.8058333333333333,0.8295277777777779,0.006666666666666667,0.0027545623433737395,5.8533333333333335,15.576666666666666,0.4259166168999826,2.683333333333333,3.1066666666666665,0.00022038482546728725,17.588468253968255,0.0,0.0,2.3385503738180162,0.9066666666666666,0.9066666666666666,1.0,1.0,1.0,1.0,0.0,3.190672932153878e-05,0.0018999631232388006,0.0001823120725748595,4.131257330300286e-05,0.00023746945434443962,3381.4133333333334,640.0,2048.0,0.0,0.0,0.0,451.28,54.82666666666667,46.82666666666667,46.82666666666667,46.82666666666667,46.82666666666667,0.0
0.3125,Improved-gOMP,optimized,0.011107581360622615,0.08884745676664021,0.8422916666666667,0.8991356837606839,0.03666666666666667,0.0013773417201688668,5.716666666666667,15.04,0.3784931120915553,1.5633333333333332,2.5233333333333334,0.00015601153291451434,0.0,0.0,0.0,2.250199033403215,0.76,0.76,0.0,0.0,1.0,0.0,1.0,2.864328863021607e-05,0.000690802506384595,0.000272046601457987,4.451308283023536e-05,0.00016934605194061683,4862.826666666667,640.0,2048.0,0.0,1826.72,120.32,120.32,53.733333333333334,45.733333333333334,0.0,0.0,8.0,0.0
0.3125,OMP,baseline,0.010922837819448382,0.08487000484182863,0.8810416666666666,0.8810416666666666,0.12333333333333334,0.0011510961332533043,16.0,16.0,0.3295102133291068,1.9033333333333333,1.9033333333333333,0.00044702081412348587,1.0,0.0,0.0,2.2248431173611967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.292984490050003e-05,0.00013268629477048913,0.00044702081412348587,0.00011055803746179057,0.0,4040.0,640.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
0.3125,OMP,optimized,0.01092283781721804,0.08487000483131889,0.8810416666666666,0.8810416666666666,0.12333333333333334,0.0006415634867638194,16.0,16.0,0.3295102133291068,1.9033333333333333,1.9033333333333333,0.00025391543468382833,1.0,0.0,0.0,2.2248431173611967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.348873915461203e-05,2.7094113029306755e-05,0.00025391543468382833,8.599411972681992e-05,0.0001295757034192017,3344.0,640.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
