k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
32,gOMP,baseline,0.0569154053496612,0.1477327505904119,0.8125,0.8125,0.0,0.0012609019333467586,11.0,32.0,0.2938658261905077,6.0,6.0,0.0006032809673342854,3.0,0.0,0.0,3.550359436539691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.700563392058636e-05,0.000113233799917604,0.0006032809673342854,7.222560028215715e-05,0.0,4832.0,768.0,2048.0,256.0,0.0,0.0,1576.0,96.0,0.0,0.0,0.0,88.0,0.0
32,gOMP,optimized,0.05691540534306667,0.14773275059367522,0.8125,0.8125,0.0,0.00047438446678521964,11.0,32.0,0.2938658261905077,6.0,6.0,0.00018189290046090415,3.0,0.0,0.0,3.550359436539691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.069573387823766e-05,9.146943308830184e-05,0.00018189290046090415,6.082496583985631e-05,0.0,1384.0,768.0,0.0,256.0,0.0,0.0,256.0,96.0,0.0,0.0,0.0,8.0,0.0
36,Improved-gOMP,baseline,0.11685823104669314,0.2505006424224898,0.7268518518518519,0.7268518518518519,0.03333333333333333,0.010129709066677605,14.8,36.0,0.46308022583148084,9.833333333333334,9.833333333333334,0.0010544373336112281,17.419702380952383,0.0,0.0,3.9309822802802956,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.879893346398603e-05,0.007330520065867555,0.0009356542668683687,0.00010120786585806248,0.0006107255652750609,5881.866666666667,768.0,2048.0,0.0,0.0,0.0,2465.866666666667,126.4,118.4,118.4,118.4,118.4,0.0
36,Improved-gOMP,optimized,0.10105084460779214,0.2357237082911188,0.7268518518518519,0.7268518518518519,0.03333333333333333,0.008510347299852583,14.8,36.0,0.46023306224216287,9.833333333333334,9.833333333333334,0.000452697666696622,0.0,0.0,0.0,3.9764004047440267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.089753283556396e-05,0.006621765966883686,0.0007499948661764696,0.00010192140022506162,0.0005823972994524714,14012.8,768.0,2048.0,0.0,10368.0,288.0,288.0,126.4,118.4,0.0,0.0,8.0,0.0
36,OMP,baseline,0.113898952201586,0.21198626023454561,0.7972222222222223,0.7972222222222223,0.16666666666666666,0.004035221799980112,36.0,36.0,0.2997584590103758,7.3,7.3,0.0020246680003765507,1.0,0.0,0.0,3.84731264220084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015742653195047752,0.0002357805994809799,0.0020246680003765507,0.00023136216659622733,0.0,8728.0,768.0,2048.0,0.0,0.0,0.0,5328.0,296.0,0.0,0.0,0.0,288.0,0.0
36,OMP,optimized,0.1138989521790616,0.21198626025316117,0.7972222222222223,0.7972222222222223,0.16666666666666666,0.0014622768333235096,36.0,36.0,0.29975845912571236,7.3,7.3,0.0006409486328872541,1.0,0.0,0.0,3.84731264220084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013036413377752373,4.969083311152644e-05,0.0006409486328872541,0.00020252203376003308,0.0002868504656968677,12272.0,768.0,0.0,256.0,10368.0,288.0,288.0,296.0,0.0,0.0,0.0,8.0,0.0
36,gOMP,baseline,0.14847142072074102,0.2940021873699086,0.6972222222222223,0.6972222222222223,0.0,0.0015114288001010815,12.0,36.0,0.4811368020138199,10.9,10.9,0.0007394956992963368,3.0,0.0,0.0,3.963945731403214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.178423289180501e-05,0.00012256960011048553,0.0007394956992963368,7.967796712667526e-05,0.0,5144.0,768.0,2048.0,256.0,0.0,0.0,1872.0,104.0,0.0,0.0,0.0,96.0,0.0
36,gOMP,optimized,0.14847142070029318,0.2940021873671911,0.6972222222222223,0.6972222222222223,0.0,0.0005227987997689828,12.0,36.0,0.48113680201382,10.9,10.9,0.00020424753268647085,3.0,0.0,0.0,3.963945731403214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.442696645128308e-05,9.076853330043377e-05,0.00020424753268647085,6.994146715442185e-05,0.0,1424.0,768.0,0.0,256.0,0.0,0.0,288.0,104.0,0.0,0.0,0.0,8.0,0.0
40,Improved-gOMP,baseline,0.1802634968639048,0.3511027982563992,0.6425,0.6425,0.0,0.012516497666547366,16.733333333333334,40.0,0.5269107166135906,14.3,14.3,0.001351354832816772,17.392565359477125,0.0,0.0,4.22368954577314,1.0,1.0,1.0,1.0,1.0,1.0,0.0,9.25827662285883e-05,0.009081460499934716,0.0012228361669258448,0.00012048719909216744,0.0006894624335473054,6569.333333333333,768.0,2048.0,0.0,0.0,0.0,3076.0,141.86666666666667,133.86666666666667,133.86666666666667,133.86666666666667,133.86666666666667,0.0
40,Improved-gOMP,optimized,0.19170766972047143,0.3542974110808917,0.6441666666666667,0.6441666666666667,0.0,0.010410856233283994,16.733333333333334,40.0,0.5155301492260389,14.233333333333333,14.233333333333333,0.0005286524996336084,0.0,0.0,0.0,4.10660872976371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.153399970372751e-05,0.00827556689995011,0.0008733756662574403,0.00011481590063340263,0.0006292452334188662,16539.733333333334,768.0,2048.0,0.0,12800.0,320.0,320.0,141.86666666666667,133.86666666666667,0.0,0.0,8.0,0.0
40,OMP,baseline,0.1075092485619705,0.20154076344446512,0.795,0.795,0.2,0.00490115426673583,40.0,40.0,0.24370876843047148,8.2,8.2,0.0025340949665405787,1.0,0.0,0.0,4.126050777253608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017598420048064629,0.00025195243197231323,0.0025340949665405787,0.00026166586661323284,0.0,10024.0,768.0,2048.0,0.0,0.0,0.0,6560.0,328.0,0.0,0.0,0.0,320.0,0.0
40,OMP,optimized,0.10750924852727976,0.2015407634616206,0.795,0.795,0.2,0.0016837460334500065,40.0,40.0,0.24370876859106225,8.2,8.2,0.000744902434234973,1.0,0.0,0.0,4.126050777253608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014541440062506203,5.407123347443606e-05,0.000744902434234973,0.00023645900043144745,0.0003225312659803118,14800.0,768.0,0.0,256.0,12800.0,320.0,320.0,328.0,0.0,0.0,0.0,8.0,0.0
40,gOMP,baseline,0.15322809500260817,0.30546942656875836,0.69,0.69,0.0,0.002248015833174577,14.0,40.0,0.4430162677634674,12.4,12.4,0.0011367576002764205,3.0,0.0,0.0,4.420205556712333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.844880038746245e-05,0.00016754489994733982,0.0011367576002764205,0.00012412949963618302,0.0,5808.0,768.0,2048.0,256.0,0.0,0.0,2504.0,120.0,0.0,0.0,0.0,112.0,0.0
40,gOMP,optimized,0.15322809497035123,0.305469426550095,0.69,0.69,0.0,0.0006796889999653407,14.0,40.0,0.4430162677634674,12.4,12.4,0.0002769969326133529,3.0,0.0,0.0,4.420205556712333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5236332809727176e-05,0.00011994533306278755,0.0002769969326133529,9.197640041141616e-05,0.0,1472.0,768.0,0.0,256.0,0.0,0.0,320.0,120.0,0.0,0.0,0.0,8.0,0.0
