k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
8,gOMP,baseline,0.004029295247510487,0.05600307360062135,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.000187717533238659,3.0,8.0,0.2644397737516954,1.0666666666666667,1.0666666666666667,6.234970011670763e-05,3.0,0.0,0.0,1.6708755510254771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1230800009798258e-05,3.599086606603426e-05,6.234970011670763e-05,1.662426717909208e-05,0.0,3264.0,768.0,2048.0,256.0,0.0,0.0,136.0,32.0,0.0,0.0,0.0,24.0,0.0
8,gOMP,optimized,0.004029295247356042,0.05600307359944183,0.8666666666666667,0.8666666666666667,0.23333333333333334,0.00011893626675979855,3.0,8.0,0.2644397737516954,1.0666666666666667,1.0666666666666667,3.9641300221167813e-05,3.0,0.0,0.0,1.6708755510254771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0572733905670854e-05,2.488536653496946e-05,3.9641300221167813e-05,1.2589633115567267e-05,0.0,1128.0,768.0,0.0,256.0,0.0,0.0,64.0,32.0,0.0,0.0,0.0,8.0,0.0
12,Improved-gOMP,baseline,0.003998072694481539,0.05987164091735513,0.8833333333333333,0.9171717171717172,0.1,0.0014355588332061113,4.133333333333334,11.566666666666666,0.34362019772312047,0.9666666666666667,1.4,0.00011710599913688687,18.333333333333332,0.0,0.0,1.8211323367302557,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.8943733448395505e-05,0.0009571657000681928,9.11352333787363e-05,2.727563381389094e-05,0.00014543316780570118,3233.0666666666666,768.0,2048.0,0.0,0.0,0.0,243.73333333333332,41.06666666666667,33.06666666666667,33.06666666666667,33.06666666666667,33.06666666666667,0.0
12,Improved-gOMP,optimized,0.0033444437754490924,0.054373869153894645,0.8972222222222223,0.9473063973063973,0.2,0.0008462209663169536,4.133333333333334,11.366666666666667,0.3379950266097939,0.6,1.2333333333333334,9.460716682951897e-05,0.0,0.0,0.0,1.8192971461189642,0.9666666666666667,0.9666666666666667,0.0,0.0,1.0,0.0,1.0,1.7274166384595447e-05,0.00038734946647309696,0.00016026183329813647,2.922246737095217e-05,0.00014203456703398842,4117.066666666667,768.0,2048.0,0.0,1037.0666666666666,90.93333333333334,90.93333333333334,41.06666666666667,33.06666666666667,0.0,0.0,8.0,0.0
12,OMP,baseline,0.0026252387741602717,0.04941710984815553,0.9277777777777777,0.9277777777777777,0.36666666666666664,0.0007155447000210794,12.0,12.0,0.31038393142879817,0.8666666666666667,0.8666666666666667,0.0002680724309660339,1.0,0.0,0.0,1.8028249790038393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.202776592341252e-05,8.129623383865692e-05,0.0002680724309660339,7.473326634984308e-05,0.0,3640.0,768.0,2048.0,0.0,0.0,0.0,624.0,104.0,0.0,0.0,0.0,96.0,0.0
12,OMP,optimized,0.0026252387735146267,0.04941710984101501,0.9277777777777777,0.9277777777777777,0.36666666666666664,0.0004430805332958698,12.0,12.0,0.3103839314287981,0.8666666666666667,0.8666666666666667,0.00016774836658441927,1.0,0.0,0.0,1.8028249790038393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.424789985932875e-05,1.915473306629186e-05,0.00016774836658441927,5.763433388589571e-05,9.825319866649807e-05,2480.0,768.0,0.0,256.0,1152.0,96.0,96.0,104.0,0.0,0.0,0.0,8.0,0.0
12,gOMP,baseline,0.005413369817901638,0.06572075242213721,0.8805555555555556,0.8805555555555556,0.16666666666666666,0.0002898445662140148,4.0,12.0,0.34449344771530704,1.4333333333333333,1.4333333333333333,0.00010278766700745715,3.0,0.0,0.0,1.8870387677610425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.637316612080516e-05,4.852190031670034e-05,0.00010278766700745715,2.670946729873928e-05,0.0,3384.0,768.0,2048.0,256.0,0.0,0.0,240.0,40.0,0.0,0.0,0.0,32.0,0.0
12,gOMP,optimized,0.005413369817851485,0.06572075242137657,0.8805555555555556,0.8805555555555556,0.16666666666666666,0.0001732452999325081,4.0,12.0,0.34449344771530704,1.4333333333333333,1.4333333333333333,5.6611633772263305e-05,3.0,0.0,0.0,1.8870387677610425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5052966530978058e-05,3.5290933495465046e-05,5.6611633772263305e-05,1.813956708550298e-05,0.0,1168.0,768.0,0.0,256.0,0.0,0.0,96.0,40.0,0.0,0.0,0.0,8.0,0.0
16,Improved-gOMP,baseline,0.006396201780059957,0.07598556221202157,0.84375,0.8770192307692307,0.06666666666666667,0.002199770633645433,5.833333333333333,15.433333333333334,0.3666141378741532,1.9333333333333333,2.5,0.0001798447330656927,17.774444444444445,0.0,0.0,2.144393244610631,0.8666666666666667,0.8666666666666667,1.0,1.0,1.0,1.0,0.0,2.802773330283041e-05,0.0015298427667100138,0.0001474470001994632,3.4646833713244024e-05,0.00016670103383755,3500.5333333333333,768.0,2048.0,0.0,0.0,0.0,443.2,54.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,46.666666666666664,0.0
16,Improved-gOMP,optimized,0.005950163934262698,0.07505421446264486,0.8479166666666667,0.9191132478632479,0.03333333333333333,0.0010956773669022369,5.6,14.8,0.3577950357921146,1.2333333333333334,2.433333333333333,0.00013170356699750604,0.0,0.0,0.0,2.039168275319452,0.7,0.7,0.0,0.0,1.0,0.0,1.0,2.4227699153319312e-05,0.0005923137656888381,0.0002296370996191399,3.63166337289537e-05,8.176619994628708e-05,4928.0,768.0,2048.0,0.0,1769.6,118.4,118.4,52.8,44.8,0.0,0.0,8.0,0.0
