snr_db,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
15.0,RMP,baseline,0.05318032907774862,0.22728351837859284,0.768125,0.768125,0.006666666666666667,0.001119978793382567,16.0,16.0,0.8633313326373268,3.71,3.71,0.00044160996224187936,1.0,0.0,0.0,2.1471607666031147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.76564181149782e-05,4.208031207478295e-05,0.0004353921175061259,0.00017619427570025436,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
15.0,RMP,optimized,0.05318032911589799,0.22728351846402334,0.768125,0.768125,0.006666666666666667,0.0005912506328119586,16.0,16.0,0.8633313328498258,3.71,3.71,0.00013369502921705133,1.0,0.0,0.0,2.1471607666031147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.373911941812063e-05,3.3304570970358326e-05,0.00013369502921705133,0.00015383872785605491,0.00012376897653060344,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
15.0,gOMP,baseline,0.022707818038938447,0.1462110912409099,0.796875,0.796875,0.013333333333333334,0.000528451490245061,6.0,16.0,0.6047636838481977,3.25,3.25,0.0002018367373966612,3.0,0.0,0.0,2.1381405831146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.975938026793301e-05,7.8195000338989e-05,0.0002018367373966612,4.4282604455171775e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
15.0,gOMP,optimized,0.0227078180360585,0.14621109123136508,0.796875,0.796875,0.013333333333333334,0.0002636285129604706,6.0,16.0,0.6047636838481977,3.25,3.25,9.360054556357985e-05,3.0,0.0,0.0,2.1381405831146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.521242340056536e-05,5.562916082756904e-05,9.360054556357985e-05,3.042634270968847e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
20.0,Improved-gOMP,baseline,0.007058620205584535,0.07833137343192226,0.8408333333333333,0.8795709013209013,0.016666666666666666,0.0027745970236719587,5.79,15.333333333333334,0.3940627155646712,1.88,2.546666666666667,0.00022622770581316823,17.791555555555554,0.0,0.0,2.0979307589218594,0.8533333333333334,0.8533333333333334,1.0,1.0,1.0,1.0,0.0,3.3562256624766937e-05,0.0019165110233977127,0.00019060197970247828,4.383454458244766e-05,0.00021385268812688688,3495.4666666666667,768.0,2048.0,0.0,0.0,0.0,439.8666666666667,54.32,46.32,46.32,46.32,46.32,0.0
20.0,Improved-gOMP,optimized,0.005028854791611788,0.06793550412768472,0.8575,0.9352482517482518,0.06333333333333334,0.0014173250162275509,5.63,14.713333333333333,0.3768348603146964,0.9933333333333333,2.28,0.00022130313586482469,0.0,0.0,0.0,2.020187982955419,0.6766666666666666,0.6766666666666666,0.0,0.0,1.0,0.0,1.0,2.9210077724807584e-05,0.0006931645205865304,0.00034472931021203596,4.65000094845891e-05,0.0001259324339722904,4910.1866666666665,768.0,2048.0,0.0,1752.6933333333334,117.70666666666666,117.70666666666666,53.04,45.04,0.0,0.0,8.0,0.0
20.0,OMP,baseline,0.004751872586335058,0.0665798245022384,0.8954166666666666,0.8954166666666666,0.13,0.0011905382098727083,16.0,16.0,0.3393703543808214,1.6733333333333333,1.6733333333333333,0.0004688885778887197,1.0,0.0,0.0,2.058019027704353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.738034900588294e-05,0.00013112947849246363,0.0004688885778887197,0.00011626346623719049,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
20.0,OMP,optimized,0.00475187258468705,0.06657982449055322,0.8954166666666666,0.8954166666666666,0.13,0.000666350346194425,16.0,16.0,0.3393703543808214,1.6733333333333333,1.6733333333333333,0.00025600083366346854,1.0,0.0,0.0,2.058019027704353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.697302349493839e-05,2.9009356949245558e-05,0.00025600083366346854,8.931424822852326e-05,0.00013546913910734778,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
20.0,RMP,baseline,0.036648441659524,0.18913987704122667,0.8129166666666666,0.8129166666666666,0.01,0.0012003111131101225,16.0,16.0,0.7208913301240985,2.993333333333333,2.993333333333333,0.0004712589503712176,1.0,0.0,0.0,2.173635703827344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.050535938508498e-05,4.6103966548495614e-05,0.00046432499516716537,0.00018843341429601425,0.0,4304.0,768.0,2048.0,256.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,8.0,0.0
20.0,RMP,optimized,0.03664844169817805,0.18913987714421313,0.8129166666666666,0.8129166666666666,0.01,0.0006346673664423481,16.0,16.0,0.7208913303905743,2.993333333333333,2.993333333333333,0.0001459541111156189,1.0,0.0,0.0,2.173635703827344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.535157222766429e-05,3.518400466418825e-05,0.0001459541111156189,0.00016416928468970582,0.0001337561285860526,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
20.0,gOMP,baseline,0.005670529950886211,0.07232219827206465,0.871875,0.871875,0.04,0.0005739805998746305,6.0,16.0,0.36158584416594075,2.05,2.05,0.00022038490288347627,3.0,0.0,0.0,2.140833668263297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0221513249368096e-05,8.664478169521316e-05,0.00022038490288347627,4.7340476012323055e-05,0.0,3664.0,768.0,2048.0,256.0,0.0,0.0,488.0,56.0,0.0,0.0,0.0,48.0,0.0
20.0,gOMP,optimized,0.005670529950335629,0.07232219826749872,0.871875,0.871875,0.04,0.0002808708004401221,6.0,16.0,0.36158584416594075,2.05,2.05,0.00010071482024310778,3.0,0.0,0.0,2.140833668263297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6890306714146087e-05,5.855094282499825e-05,0.00010071482024310778,3.405221311065058e-05,0.0,1216.0,768.0,0.0,256.0,0.0,0.0,128.0,56.0,0.0,0.0,0.0,8.0,0.0
25.0,Improved-gOMP,baseline,0.0038535218400764354,0.050456227981467844,0.8889583333333333,0.8977852564102564,0.07,0.0030693292437354103,6.006666666666667,15.85,0.24531972205968278,1.6266666666666667,1.7766666666666666,0.00025079968016749867,17.71865079365079,0.0,0.0,2.136779955699445,0.99,0.99,1.0,1.0,1.0,1.0,0.0,3.5626120758630953e-05,0.0021073568337790977,0.0002045446028447865,4.6985576482256874e-05,0.00026552993256094245,3530.56,768.0,2048.0,0.0,0.0,0.0,466.29333333333335,56.053333333333335,48.053333333333335,48.053333333333335,48.053333333333335,48.053333333333335,0.0
25.0,Improved-gOMP,optimized,0.0014210309246751158,0.035044651012134075,0.9214583333333334,0.9462713675213675,0.22,0.001525070896653536,5.946666666666666,15.593333333333334,0.21131061023340098,0.85,1.2566666666666666,0.00018136213082470932,0.0,0.0,0.0,2.07232054184084,0.9333333333333333,0.9333333333333333,0.0,0.0,1.0,0.0,1.0,3.071291396433177e-05,0.0007555392116773874,0.0003076985665635827,5.1812027328802895e-05,0.0001839418083545752,5127.786666666667,768.0,2048.0,0.0,1951.1466666666668,124.74666666666667,124.74666666666667,55.57333333333333,47.57333333333333,0.0,0.0,8.0,0.0
25.0,OMP,baseline,0.0012085056593242746,0.03278759842484536,0.9410416666666667,0.9410416666666667,0.36666666666666664,0.0012396802205087928,16.0,16.0,0.19649729356602022,0.9433333333333334,0.9433333333333334,0.0004823980272825186,1.0,0.0,0.0,2.0550716883778084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.187778924669449e-05,0.00013319984335491124,0.0004823980272825186,0.0001228420100718116,0.0,4168.0,768.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
25.0,OMP,optimized,0.0012085056592702234,0.03278759842441538,0.9410416666666667,0.9410416666666667,0.36666666666666664,0.0006829339540369499,16.0,16.0,0.19649729356602022,0.9433333333333334,0.9433333333333334,0.00026817171892616897,1.0,0.0,0.0,2.0550716883778084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.714236709134032e-05,2.8259585136159633e-05,0.00026817171892616897,9.231826959876343e-05,0.00013590590315288865,3472.0,768.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
