k,algorithm,implementation,nmse,relative_l2_error,support_recall,support_precision,exact_support_recovery,runtime_sec,iterations,support_size,final_residual_norm,false_positive_count,false_negative_count,solver_time_sec,screening_pool_size_avg,solver_fallback_count,duplicate_candidate_hits,max_support_condition,rescue_attempted,rescue_accepted,used_tail_refinement,used_gain_reranking,used_forward_backward,used_two_phase_tail,used_cholesky_solver,correlation_time_sec,selection_time_sec,solve_time_sec,residual_update_time_sec,support_refinement_time_sec,peak_working_set_bytes,residual_bytes,x_hat_bytes,support_mask_bytes,solver_gram_bytes,solver_rhs_bytes,support_history_bytes,residual_history_bytes,support_size_history_bytes,candidate_size_history_bytes,group_size_history_bytes,support_condition_history_bytes,extra_array_bytes
12,Improved-gOMP,baseline,0.0014337719681013971,0.017132757300834838,0.9569444444444444,0.9569444444444444,0.6333333333333333,0.0022757249798935663,4.616666666666666,12.0,0.05101543750632883,0.5166666666666667,0.5166666666666667,0.00016163714370724,17.988,0.0,0.0,1.691526724691839,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.8360404976410255e-05,0.001487064640289895,0.00012818037973674108,3.620260171980267e-05,0.0003040297502108057,3553.5733333333333,1024.0,2048.0,0.0,0.0,0.0,288.9066666666667,44.93333333333333,36.93333333333333,36.93333333333333,36.93333333333333,36.93333333333333,0.0
12,Improved-gOMP,optimized,9.585584432323814e-05,0.0015137872204938974,0.9952777777777777,0.9952777777777777,0.9433333333333334,0.0012973135834423487,4.733333333333333,12.0,0.004499996239591414,0.056666666666666664,0.056666666666666664,0.00012969502718377694,0.0,0.0,0.0,1.661189181083331,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.6838602740705287e-05,0.0005399249992235843,0.00021221770929206232,4.277562746816831e-05,0.00031953518041210433,4507.733333333334,1024.0,2048.0,0.0,1152.0,96.0,96.0,45.86666666666667,37.86666666666667,0.0,0.0,8.0,0.0
12,OMP,baseline,2.518198392365144e-30,1.3317855089062307e-15,1.0,1.0,1.0,0.0008411994331011354,12.0,12.0,4.549432498548702e-15,0.0,0.0,0.00030238733282501797,1.0,0.0,0.0,1.6556953772069194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666246806465105e-05,9.736462059662214e-05,0.00030238733282501797,9.711660614507625e-05,0.0,3896.0,1024.0,2048.0,0.0,0.0,0.0,624.0,104.0,0.0,0.0,0.0,96.0,0.0
12,OMP,optimized,1.3202699381547157e-20,1.1414274420807784e-10,1.0,1.0,1.0,0.0004993036969001667,12.0,12.0,3.554754165262935e-10,0.0,0.0,0.00018393499864027734,1.0,0.0,0.0,1.6556953772069194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.927662345735698e-05,2.2188938940720013e-05,0.00018393499864027734,6.432162088458052e-05,9.88009786912269e-05,2736.0,1024.0,0.0,256.0,1152.0,96.0,96.0,104.0,0.0,0.0,0.0,8.0,0.0
12,gOMP,baseline,0.0007299818075606364,0.01707690456324663,0.9302777777777778,0.9302777777777778,0.2866666666666667,0.000358410690387196,4.0,12.0,0.050933738860168117,0.8366666666666667,0.8366666666666667,0.00012541225073311825,3.0,0.0,0.0,1.7146944272075029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2947710240259176e-05,5.9755481197494706e-05,0.00012541225073311825,3.4907597097722174e-05,0.0,3640.0,1024.0,2048.0,256.0,0.0,0.0,240.0,40.0,0.0,0.0,0.0,32.0,0.0
12,gOMP,optimized,0.000729981807713653,0.017076904597785124,0.9302777777777778,0.9302777777777778,0.2866666666666667,0.00020084816972176735,4.0,12.0,0.05093373896233825,0.8366666666666667,0.8366666666666667,6.55388599261607e-05,3.0,0.0,0.0,1.7146944272075029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2295132706251952e-05,4.171603616365789e-05,6.55388599261607e-05,2.1287150302668807e-05,0.0,1424.0,1024.0,0.0,256.0,0.0,0.0,96.0,40.0,0.0,0.0,0.0,8.0,0.0
16,Improved-gOMP,baseline,0.000484302631463371,0.01164298963814358,0.96,0.96,0.5033333333333333,0.003067517770056484,6.163333333333333,16.0,0.04012700648738562,0.64,0.64,0.000244205978281827,18.075079365079365,0.0,0.0,1.8977754241098383,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.194714366652314e-05,0.0020957107626599684,0.00020044125000514233,5.209375687020888e-05,0.000263116806260415,3808.9333333333334,1024.0,2048.0,0.0,0.0,0.0,482.4,57.306666666666665,49.306666666666665,49.306666666666665,49.306666666666665,49.306666666666665,0.0
16,Improved-gOMP,optimized,2.0796526025653373e-05,0.0008714513230037477,0.9939583333333334,0.9939583333333334,0.9033333333333333,0.0015274449797288477,6.236666666666666,16.0,0.0030637397675292405,0.09666666666666666,0.09666666666666666,0.00016833458595399834,0.0,0.0,0.0,1.8668576082897217,1.0,1.0,0.0,0.0,1.0,0.0,1.0,3.513921988390692e-05,0.000731279022293117,0.0002884647030926117,5.570246726468252e-05,0.00022863534046331768,5491.786666666667,1024.0,2048.0,0.0,2048.0,128.0,128.0,57.89333333333333,49.89333333333333,0.0,0.0,8.0,0.0
16,OMP,baseline,2.728482935995023e-30,1.4863217189396537e-15,1.0,1.0,1.0,0.0012035665893441647,16.0,16.0,5.90543548269797e-15,0.0,0.0,0.0004594976939551536,1.0,0.0,0.0,1.8590686158233836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.819944603600812e-05,0.00012355125708074527,0.0004594976939551536,0.00012791662370238743,0.0,4424.0,1024.0,2048.0,0.0,0.0,0.0,1088.0,136.0,0.0,0.0,0.0,128.0,0.0
16,OMP,optimized,1.466426997124124e-20,1.2003639376108253e-10,1.0,1.0,1.0,0.0006393376334744457,16.0,16.0,4.1767552099710543e-10,0.0,0.0,0.00024030490875394234,1.0,0.0,0.0,1.8590686158233836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.353513171740755e-05,2.6950176349297498e-05,0.00024030490875394234,8.691192269906544e-05,0.00012431063121761765,3728.0,1024.0,0.0,256.0,2048.0,128.0,128.0,136.0,0.0,0.0,0.0,8.0,0.0
